Base Architecture,Experiment / Method,Train Domain,Test Domain,mAP,mAP@50,mAP@75,mAP_s,mAP_m,mAP_l,,,,
Faster R-CNN R50,Multi-Modal,RGB-HSI,HSI,41.6,80.4,40.3,20,37.3,63.7,,,,
Faster R-CNN R50,Hyperspectral Only,HSI,HSI,12.8,28.7,8.2,12.8,27.5,-1,,,,
Faster R-CNN R50,RGB Only,RGB,RGB,37.7,75.6,35.5,13.7,30.8,60.6,,,,
Faster R-CNN R50,No Adaptation (1x1 conv),RGB,HSI,1.3,3.7,0.5,1.3,0.9,-1,,,,
Faster R-CNN R50,No Adaptation (RGB extraction),RGB,HSI,5.7,16.6,1.9,0.3,4.8,11.5,,,,
,,,,,,,,,,,,,
LMW-YOLO,Standard,RGB,RGB,38.3,75.6,35.7,13.2,32,61.2,,,,
LMW-YOLO,No Adaptation (RGB extraction),RGB,HSI,12.4,31.2,8.1,2.7,8.7,27.5,,,,
LMW-YOLO,No Adaptation (PCA extraction),RGB,HSI,4.3,11.2,1.9,0,3,12.1,,,,
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Aybuke),RGB,HSI,,59.03 ± 0.81,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,62,,,,,Seed 42,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,53.4,,,,,Seed 42,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 3),RGB,HSI,,54.3,,,,,Seed 42,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction),RGB,HSI,,56.5% ± 4.5%,,,,,Seed 42,train 640x640 test img 224x224,,
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,22.5,66.6,,,,,Seed 0,train 640x640 test img 224x224,,python3 yolov5_official/val.py         --weights baseline_official/runs/fold_1_640_2nd/weights/best.pt         --data baseline_official/test_hsi_rgb.yaml         --img 224         --batch-size 8         --single-cls         --project baseline_official/eval_results         --name fold_1_640_test_2nd         --exist-ok         --verbose
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,55.3,,,,,Seed 0,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 3),RGB,HSI,,45,,,,,Seed 0,train 640x640 test img 224x224,,
YOLOv5s,Lower Bound (RGB Extraction),RGB,HSI,,55.6 ± 10.8%,,,,,Seed 0,train 640x640 test img 224x224,,for FOLD in 1 2 3; do python3 yolov5_official/train.py \        --weights yolov5s.pt \        --cfg yolov5_official/models/yolov5s.yaml \        --data baseline_official/fold_${FOLD}.yaml \        --hyp baseline_official/hyp_paper.yaml \        --img 640 \        --batch-size 8 \        --workers 0 \        --epochs 300 \        --patience 100 \        --single-cls \        --project baseline_official/runs \        --name fold_${FOLD}_640 \        --exist-ok \ done
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,36.9,,,,,Seed 0,train 640x640 test img 640x640,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,35.7,,,,,Seed 0,train 640x640 test img 640x640,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 3),RGB,HSI,,43.6,,,,,Seed 0,train 640x640 test img 640x640,,
YOLOv5s,Lower Bound (RGB Extraction),RGB,HSI,,38.7 ± 4.26%,,,,,Seed 0,train 640x640 test img 640x640,,
,,,,,,,,,,,,,
YOLOv5s,Lower Bound (RGB Extraction - Fold 1),RGB,HSI,,61.6,,,,,Seed 0,train 640x640 test img 224x224,,Aybuke's paper augmentations
YOLOv5s,Lower Bound (RGB Extraction - Fold 2),RGB,HSI,,58.6,,,,,Seed 0,train 640x640 test img 224x224,,
