Model,Experiment,Method,Fold,Resolution,Normalization,mAP@50,mAP@50-95,mAP_s,mAP_m,mAP_l,Seed,Implementation_File,Notes
Faster R-CNN R50,Multi-Modal,RGB Extraction,Average,,Standard,80.4,41.6,20,37.3,63.7,,,
Faster R-CNN R50,Upper Bound (HSI),RGB Extraction,Average,,Standard,28.7,12.8,12.8,27.5,-1,,,
Faster R-CNN R50,Upper Bound (RGB),RGB Extraction,Average,,Standard,75.6,37.7,13.7,30.8,60.6,,,
Faster R-CNN R50,Lower Bound,1x1 Conv,Average,,Standard,3.7,1.3,1.3,0.9,-1,,,
Faster R-CNN R50,Lower Bound,RGB Extraction,Average,,Standard,16.6,5.7,0.3,4.8,11.5,,,
LMW-YOLO,Standard,RGB Extraction,Average,,Standard,75.6,38.3,13.2,32,61.2,,,
LMW-YOLO,Lower Bound,RGB Extraction,Average,,Standard,31.2,12.4,2.7,8.7,27.5,,,
LMW-YOLO,Lower Bound,RGB Extraction,Average,,Standard,11.2,4.3,0,3,12.1,,,
YOLOv5s,Lower Bound,RGB Extraction,Average,,Standard,59.03 ± 0.81,,,,,,,
YOLOv5s,Lower Bound,RGB Extraction,1,T:640x640 V:224x224,Standard,62,,,,,Seed 42,,
YOLOv5s,Lower Bound,RGB Extraction,2,T:640x640 V:224x224,Standard,53.4,,,,,Seed 42,,
YOLOv5s,Lower Bound,RGB Extraction,3,T:640x640 V:224x224,Standard,54.3,,,,,Seed 42,,
YOLOv5s,Lower Bound,RGB Extraction,Average,T:640x640 V:224x224,Standard,56.5% ± 4.5%,,,,,Seed 42,,
YOLOv5s,Lower Bound,RGB Extraction,1,T:640x640 V:224x224,Standard,66.6,22.5,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,2,T:640x640 V:224x224,Standard,55.3,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,3,T:640x640 V:224x224,Standard,45,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,Average,T:640x640 V:224x224,Standard,55.6 ± 10.8%,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,1,T:640x640 V:640x640,Standard,36.9,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,2,T:640x640 V:640x640,Standard,35.7,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,3,T:640x640 V:640x640,Standard,43.6,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,Average,T:640x640 V:640x640,Standard,38.7 ± 4.26%,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,1,T:640x640 V:224x224,Standard,61.6,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,2,T:640x640 V:224x224,Standard,58.6,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,3,T:640x640 V:224x224,Standard,63.4,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,Average,T:640x640 V:224x224,Standard, 61.20% ± 2.43%,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,1,T:640x640 V:640x640,Standard,57.6,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,2,T:640x640 V:640x640,Standard,58.6,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,3,T:640x640 V:640x640,Standard,56.9,,,,,Seed 0,,
YOLOv5s,Lower Bound,RGB Extraction,Average,T:640x640 V:640x640,Standard,57.70% ± 0.85%,,,,,Seed 0,,
YOLOv26s-obb,Lower Bound,RGB Extraction,1,T:640x640 V:640x640,Standard,73,,,,,Seed 0,,
YOLOv26s-obb,Lower Bound,RGB Extraction,2,T:640x640 V:640x640,Standard,63.3,,,,,Seed 0,,
YOLOv26s-obb,Lower Bound,RGB Extraction,3,T:640x640 V:640x640,Standard,71.6,,,,,Seed 0,,
YOLOv26s-obb,Lower Bound,RGB Extraction,Average,T:640x640 V:640x640,Standard,69.32 ± 5.2%,,,,,Seed 0,,
YOLOv26s,Lower Bound,RGB Extraction,1,T:640x640 V:640x640,Standard,63.4,,,,,Seed 0,,
YOLOv26s,Lower Bound,RGB Extraction,2,T:640x640 V:640x640,Standard,61.9,,,,,Seed 0,,
YOLOv26s,Lower Bound,RGB Extraction,3,T:640x640 V:640x640,Standard,55.9,,,,,Seed 0,,
YOLOv26s,Lower Bound,RGB Extraction,Average,T:640x640 V:640x640,Standard,60.43 ± 3.98%,,,,,Seed 0,,
RT-DETR,Lower Bound,RGB Extraction,1,T:640x640 V:640x640,Standard,51.4,,,,,Seed 0,,
RT-DETR,Lower Bound,RGB Extraction,2,T:640x640 V:640x640,Standard,54.7,,,,,Seed 0,,
RT-DETR,Lower Bound,RGB Extraction,3,T:640x640 V:640x640,Standard,56.8,,,,,Seed 0,,
RT-DETR,Lower Bound,RGB Extraction,Average,T:640x640 V:640x640,Standard,54.33 ± 2.7%,,,,,Seed 0,,
YOLOv5s,Lower Bound,PCA,Average,,PCA (0-255),23.27 ± 0.5,,,,,,,
YOLOv5s,Lower Bound,PCA,1,,PCA (0-255),28.1,10.5,,,,,,
