               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11709,            0.035635,                   0,            0.012746,              0.6058,            0.048702,           0.0096374,            0.092402,            0.024627,                   0,            0.070323,           0.0032975,           0.0032975
                   1,            0.091431,            0.031969,                   0,             0.20367,             0.29781,             0.14177,            0.039981,            0.085764,            0.018289,                   0,            0.040303,           0.0066109,           0.0066109
                   2,            0.084159,             0.02743,                   0,             0.36424,             0.44945,             0.32704,            0.098148,            0.069019,            0.019012,                   0,            0.010263,           0.0099044,           0.0099044
                   3,            0.078738,            0.027857,                   0,             0.42124,             0.52821,             0.39134,             0.12452,            0.063485,            0.025291,                   0,             0.00991,             0.00991,             0.00991
                   4,            0.073252,            0.026522,                   0,             0.50549,             0.48041,               0.447,             0.15458,            0.065428,            0.019003,                   0,             0.00991,             0.00991,             0.00991
                   5,            0.070806,            0.028501,                   0,             0.64568,              0.5584,             0.57191,             0.19838,            0.059956,            0.016801,                   0,             0.00988,             0.00988,             0.00988
                   6,            0.066569,            0.027915,                   0,             0.49322,             0.52194,             0.45665,              0.1444,            0.063564,            0.017289,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.067543,            0.025485,                   0,             0.70253,             0.65704,             0.67842,             0.26308,            0.055005,            0.016453,                   0,             0.00982,             0.00982,             0.00982
                   8,             0.06668,            0.026521,                   0,             0.73765,             0.65909,             0.68585,              0.2702,            0.054883,            0.016627,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.064928,             0.02542,                   0,             0.71973,             0.62226,             0.65806,              0.2578,            0.054543,            0.016511,                   0,             0.00976,             0.00976,             0.00976
                  10,            0.065626,            0.026301,                   0,             0.70974,             0.63558,             0.67643,              0.2745,            0.055638,            0.017172,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.064203,            0.025464,                   0,             0.71357,             0.68726,             0.69776,              0.2811,             0.05314,            0.017501,                   0,              0.0097,              0.0097,              0.0097
                  12,            0.062326,            0.024844,                   0,             0.69902,             0.64812,             0.67609,             0.26635,            0.056051,            0.017323,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.061952,            0.026975,                   0,             0.73472,             0.66066,             0.69582,             0.27739,            0.053111,            0.016515,                   0,             0.00964,             0.00964,             0.00964
                  14,            0.061633,            0.026073,                   0,             0.74303,             0.68208,             0.72559,             0.30132,            0.051808,             0.01564,                   0,             0.00961,             0.00961,             0.00961
                  15,            0.063098,            0.026454,                   0,             0.71983,             0.68339,             0.70055,             0.29336,            0.052825,            0.015575,                   0,             0.00958,             0.00958,             0.00958
                  16,            0.060762,            0.026255,                   0,              0.7465,             0.71552,             0.72052,             0.29969,            0.051302,            0.016093,                   0,             0.00955,             0.00955,             0.00955
