               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11753,            0.031645,                   0,           0.0068823,             0.45433,             0.02592,            0.005686,            0.087368,            0.032209,                   0,            0.070323,           0.0032975,           0.0032975
                   1,            0.090848,            0.030715,                   0,             0.16456,             0.27284,             0.11373,            0.024893,            0.080568,            0.026399,                   0,            0.040303,           0.0066109,           0.0066109
                   2,            0.082283,            0.026373,                   0,             0.24604,             0.30368,              0.1761,            0.046222,            0.077057,            0.022682,                   0,            0.010263,           0.0099044,           0.0099044
                   3,             0.07766,            0.026237,                   0,             0.23561,             0.34992,             0.20287,            0.056381,            0.074256,            0.024634,                   0,             0.00991,             0.00991,             0.00991
                   4,             0.07316,             0.02415,                   0,             0.54967,             0.54658,              0.5111,             0.17721,            0.060777,             0.02327,                   0,             0.00991,             0.00991,             0.00991
                   5,              0.0697,            0.024023,                   0,             0.45105,              0.4917,             0.41106,             0.13229,              0.0623,            0.021645,                   0,             0.00988,             0.00988,             0.00988
                   6,            0.069085,            0.024597,                   0,             0.59301,             0.58594,               0.555,             0.20096,            0.056209,            0.026779,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.067515,            0.023663,                   0,             0.62497,             0.55943,             0.56112,              0.2026,            0.059379,            0.025449,                   0,             0.00982,             0.00982,             0.00982
                   8,             0.06499,             0.02456,                   0,             0.64765,             0.57562,             0.58133,              0.2294,            0.054684,            0.022482,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.063105,            0.023425,                   0,             0.68882,             0.56194,             0.60411,             0.25419,            0.053937,            0.022181,                   0,             0.00976,             0.00976,             0.00976
                  10,            0.064333,            0.025366,                   0,             0.69348,             0.62574,             0.65566,             0.26884,            0.053409,            0.021323,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.062628,            0.023588,                   0,             0.70516,             0.59846,             0.64679,              0.2341,            0.054583,            0.020988,                   0,              0.0097,              0.0097,              0.0097
                  12,            0.063803,            0.021468,                   0,             0.65482,             0.55338,             0.59604,             0.23818,            0.056489,            0.024453,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.061069,             0.02162,                   0,             0.72699,             0.63176,             0.68364,             0.27344,            0.051945,            0.020603,                   0,             0.00964,             0.00964,             0.00964
