               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11767,            0.032336,                   0,           0.0063063,              0.4717,            0.021848,           0.0046113,            0.093619,            0.030006,                   0,            0.070323,           0.0032975,           0.0032975
                   1,            0.093411,            0.034292,                   0,             0.29592,             0.34973,             0.23185,            0.061799,            0.080081,            0.022122,                   0,            0.040303,           0.0066109,           0.0066109
                   2,            0.084288,            0.027482,                   0,             0.20459,             0.28841,             0.16646,            0.044211,            0.077742,            0.023627,                   0,            0.010263,           0.0099044,           0.0099044
                   3,            0.077974,            0.027508,                   0,             0.49882,              0.4717,             0.44212,             0.13079,             0.06823,            0.020481,                   0,             0.00991,             0.00991,             0.00991
                   4,            0.075202,             0.02755,                   0,             0.42507,             0.54453,             0.44675,             0.15582,            0.063939,             0.02465,                   0,             0.00991,             0.00991,             0.00991
                   5,            0.070486,            0.026705,                   0,              0.5053,             0.58423,             0.50532,             0.18915,            0.061538,            0.019756,                   0,             0.00988,             0.00988,             0.00988
                   6,             0.06913,            0.026923,                   0,             0.60345,             0.58356,             0.57366,             0.20405,            0.061815,             0.01965,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.066582,            0.026209,                   0,             0.64333,             0.62264,             0.62281,             0.25177,            0.060122,            0.020466,                   0,             0.00982,             0.00982,             0.00982
                   8,            0.066358,            0.025182,                   0,             0.59974,             0.61725,             0.57444,             0.19954,            0.059169,            0.019436,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.065505,            0.024552,                   0,             0.66678,             0.60243,             0.64575,             0.26337,            0.057361,            0.019091,                   0,             0.00976,             0.00976,             0.00976
                  10,            0.063576,            0.024916,                   0,             0.71048,             0.65431,             0.70877,             0.29818,            0.053506,            0.018994,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.064468,            0.026709,                   0,             0.73175,             0.65566,             0.70798,             0.29643,            0.053588,            0.018793,                   0,              0.0097,              0.0097,              0.0097
                  12,            0.063411,            0.025355,                   0,             0.70127,             0.69288,             0.71249,             0.30071,            0.054691,            0.018458,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.062178,            0.025267,                   0,             0.74744,             0.70081,             0.73521,              0.3136,            0.054264,            0.018222,                   0,             0.00964,             0.00964,             0.00964
                  14,            0.063605,            0.025083,                   0,             0.67481,             0.64623,             0.66996,             0.28263,             0.05495,            0.020302,                   0,             0.00961,             0.00961,             0.00961
                  15,            0.061011,            0.024289,                   0,              0.7318,             0.68935,             0.72274,             0.30674,            0.051794,            0.018352,                   0,             0.00958,             0.00958,             0.00958
                  16,            0.061827,            0.022668,                   0,             0.75534,             0.65162,             0.70611,             0.30772,            0.054275,            0.019395,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.061175,            0.024177,                   0,             0.71939,             0.67925,             0.71234,             0.29809,            0.054068,             0.01919,                   0,             0.00952,             0.00952,             0.00952
                  18,            0.060485,            0.024494,                   0,             0.74544,             0.68935,             0.73937,             0.31158,            0.053833,            0.019049,                   0,             0.00949,             0.00949,             0.00949
                  19,            0.059139,            0.023574,                   0,             0.74973,             0.72102,             0.74963,              0.3183,            0.051028,            0.018368,                   0,             0.00946,             0.00946,             0.00946
                  20,            0.058717,             0.02241,                   0,             0.73247,             0.69738,             0.72893,             0.31901,            0.051723,             0.01976,                   0,             0.00943,             0.00943,             0.00943
                  21,             0.06086,            0.023098,                   0,             0.75097,             0.69295,              0.7474,             0.32962,            0.051297,            0.018537,                   0,              0.0094,              0.0094,              0.0094
                  22,            0.060545,            0.023447,                   0,             0.77988,              0.6752,             0.73603,             0.33948,            0.051432,            0.018177,                   0,             0.00937,             0.00937,             0.00937
                  23,            0.060926,            0.022207,                   0,             0.77038,              0.7212,             0.76204,             0.34261,            0.052193,            0.018078,                   0,             0.00934,             0.00934,             0.00934
                  24,            0.057822,            0.022085,                   0,             0.77311,             0.71698,             0.76004,             0.33047,            0.050261,            0.018905,                   0,             0.00931,             0.00931,             0.00931
                  25,            0.059583,            0.027581,                   0,             0.78648,             0.70216,             0.76962,             0.31874,            0.051748,            0.018326,                   0,             0.00928,             0.00928,             0.00928
                  26,            0.060584,             0.02283,                   0,             0.78499,             0.70081,             0.75326,             0.34048,            0.050282,            0.018104,                   0,             0.00925,             0.00925,             0.00925
                  27,            0.057763,            0.023898,                   0,             0.77946,             0.69137,             0.73682,             0.33572,            0.050087,            0.018828,                   0,             0.00922,             0.00922,             0.00922
                  28,            0.057324,            0.020196,                   0,             0.76102,             0.69946,             0.74234,             0.33465,            0.050359,            0.018487,                   0,             0.00919,             0.00919,             0.00919
                  29,            0.057396,            0.022043,                   0,             0.81597,             0.71226,             0.76838,             0.35441,            0.049756,            0.018203,                   0,             0.00916,             0.00916,             0.00916
                  30,            0.058167,            0.022667,                   0,             0.75591,             0.71024,             0.72206,             0.31181,            0.051801,            0.018291,                   0,             0.00913,             0.00913,             0.00913
                  31,            0.058349,            0.020557,                   0,             0.76151,             0.72727,             0.76502,             0.35129,            0.050777,            0.017968,                   0,              0.0091,              0.0091,              0.0091
                  32,            0.057785,            0.023189,                   0,             0.78097,             0.73283,             0.76817,             0.34162,            0.050671,            0.017841,                   0,             0.00907,             0.00907,             0.00907
                  33,            0.057951,            0.022685,                   0,             0.76376,             0.74259,              0.7717,             0.35556,            0.049272,            0.018185,                   0,             0.00904,             0.00904,             0.00904
                  34,            0.056652,            0.021414,                   0,             0.79791,             0.73963,             0.79059,              0.3645,            0.050381,             0.01783,                   0,             0.00901,             0.00901,             0.00901
                  35,            0.058015,            0.023733,                   0,             0.76014,             0.74743,             0.76797,             0.35034,            0.049073,            0.018165,                   0,             0.00898,             0.00898,             0.00898
                  36,            0.057143,            0.022788,                   0,             0.80501,              0.7217,             0.78158,             0.36448,            0.049539,            0.017728,                   0,             0.00895,             0.00895,             0.00895
                  37,            0.056645,            0.021534,                   0,             0.79531,             0.74259,             0.78522,             0.36339,             0.05005,            0.018024,                   0,             0.00892,             0.00892,             0.00892
                  38,            0.056945,            0.021081,                   0,             0.81636,             0.73787,             0.79447,             0.37158,            0.050155,            0.017961,                   0,             0.00889,             0.00889,             0.00889
                  39,             0.05552,            0.022122,                   0,             0.79119,             0.73787,             0.78167,              0.3564,            0.048869,            0.017994,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.057162,            0.022258,                   0,             0.80648,             0.73383,             0.78598,             0.36863,            0.049294,            0.017466,                   0,             0.00883,             0.00883,             0.00883
                  41,            0.056204,            0.020346,                   0,             0.79403,             0.73518,             0.79541,             0.36972,              0.0499,            0.018095,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.057627,            0.023876,                   0,             0.82059,              0.7345,             0.80093,             0.37772,            0.048086,            0.017771,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.055317,            0.021212,                   0,             0.80033,             0.73315,             0.78789,             0.37521,            0.048869,             0.01763,                   0,             0.00874,             0.00874,             0.00874
                  44,            0.056776,             0.02143,                   0,             0.80714,             0.72709,             0.79263,              0.3733,            0.049226,            0.017599,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.055347,            0.020529,                   0,             0.78133,             0.74865,              0.7876,             0.36512,             0.04947,            0.017588,                   0,             0.00868,             0.00868,             0.00868
                  46,            0.056005,            0.021268,                   0,             0.76063,             0.75539,             0.78146,             0.34517,            0.050697,            0.018374,                   0,             0.00865,             0.00865,             0.00865
                  47,            0.056605,            0.020782,                   0,             0.80032,             0.71034,             0.77604,             0.36191,            0.049435,            0.017743,                   0,             0.00862,             0.00862,             0.00862
                  48,             0.05618,            0.021096,                   0,              0.7948,             0.72709,             0.77938,             0.35942,             0.05088,            0.018291,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.055646,            0.020327,                   0,             0.80212,             0.71566,             0.77281,             0.35815,            0.050756,            0.018142,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.055735,            0.019524,                   0,             0.79639,             0.74124,             0.80042,             0.37844,            0.049513,            0.017713,                   0,             0.00853,             0.00853,             0.00853
                  51,            0.055282,            0.020499,                   0,             0.79473,             0.75943,             0.80204,             0.37952,            0.048915,            0.017558,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.055629,            0.019631,                   0,             0.79741,             0.75858,             0.80506,             0.37685,            0.049935,            0.017977,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.055549,            0.020798,                   0,             0.80523,             0.75218,             0.80581,             0.37847,            0.048724,            0.017427,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.053601,            0.021818,                   0,              0.7958,              0.7458,             0.80145,              0.3847,             0.04832,            0.017728,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.053602,            0.019117,                   0,             0.80969,             0.75539,             0.80737,             0.38407,             0.04875,            0.017673,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.055191,            0.021019,                   0,              0.7966,             0.70991,             0.76718,              0.3657,            0.048533,            0.018018,                   0,             0.00835,             0.00835,             0.00835
