epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,104.155,1.81882,0.94559,0.71838,0.0001,0.0074,5e-05,1e-05,1.75525,0.16679,0.49273,3.31541e-05,3.31541e-05,0.066879
2,187.493,1.61588,0.36876,0.39247,0.00596,0.44586,0.01528,0.00318,1.08815,0.90295,0.28458,6.6268e-05,6.6268e-05,0.0335788
3,270.007,1.05972,0.87602,0.25402,0.00767,0.57431,0.0372,0.00816,0.96576,1.01347,0.23798,9.9162e-05,9.9162e-05,0.000278373
4,352.831,1.05288,0.80023,0.23705,0.01589,0.6456,0.0639,0.01507,0.88859,0.9736,0.21115,9.901e-05,9.901e-05,9.901e-05
5,435.68,0.95431,0.85367,0.21857,0.05188,0.60928,0.07841,0.02159,0.83365,0.98394,0.18672,9.868e-05,9.868e-05,9.868e-05
6,518.839,0.98119,0.82588,0.22234,0.07339,0.53732,0.0932,0.02589,0.87168,0.82622,0.20947,9.835e-05,9.835e-05,9.835e-05
7,602.162,0.9123,0.81737,0.20291,0.06862,0.61264,0.10166,0.02614,0.87921,0.78867,0.20993,9.802e-05,9.802e-05,9.802e-05
8,685.401,0.89099,0.77267,0.19852,0.08295,0.54943,0.10792,0.0293,0.83832,0.7756,0.19644,9.769e-05,9.769e-05,9.769e-05
9,768.944,0.84339,0.83124,0.17173,0.13092,0.52925,0.14501,0.04905,0.72664,0.82497,0.1596,9.736e-05,9.736e-05,9.736e-05
10,852.43,0.78413,0.86613,0.17729,0.13258,0.55817,0.15671,0.05523,0.66698,0.91087,0.14087,9.703e-05,9.703e-05,9.703e-05
11,936.046,0.8291,0.80281,0.17887,0.12762,0.44317,0.12482,0.03616,0.78407,0.77856,0.17873,9.67e-05,9.67e-05,9.67e-05
12,1018.63,0.74342,0.88465,0.14621,0.13558,0.46268,0.13245,0.04033,0.75021,0.80891,0.1636,9.637e-05,9.637e-05,9.637e-05
13,1100.65,0.80792,0.82418,0.17517,0.1508,0.42098,0.14097,0.04903,0.64688,0.89181,0.1357,9.604e-05,9.604e-05,9.604e-05
14,1183.42,0.82083,0.8264,0.1658,0.13707,0.48689,0.13968,0.05223,0.67077,0.87639,0.14342,9.571e-05,9.571e-05,9.571e-05
15,1265.59,0.7492,0.8745,0.15894,0.14634,0.46738,0.14865,0.04924,0.70916,0.83808,0.15171,9.538e-05,9.538e-05,9.538e-05
16,1348.13,0.73765,0.86295,0.14882,0.14641,0.4796,0.1445,0.05512,0.63462,0.89741,0.13252,9.505e-05,9.505e-05,9.505e-05
17,1430.76,0.7884,0.83431,0.1542,0.13254,0.49227,0.12436,0.03529,0.77463,0.85979,0.17232,9.472e-05,9.472e-05,9.472e-05
18,1512.85,0.75691,0.84454,0.15389,0.13276,0.50101,0.12719,0.04117,0.70706,0.83209,0.15286,9.439e-05,9.439e-05,9.439e-05
19,1595.4,0.71994,0.94037,0.15221,0.14404,0.52186,0.15402,0.05663,0.6355,0.89042,0.13403,9.406e-05,9.406e-05,9.406e-05
20,1678.78,0.73024,0.88382,0.14904,0.13944,0.5158,0.15113,0.05269,0.6486,0.89924,0.13422,9.373e-05,9.373e-05,9.373e-05
21,1760.78,0.69607,0.87412,0.14149,0.13901,0.51177,0.14287,0.04742,0.68856,0.84655,0.14416,9.34e-05,9.34e-05,9.34e-05
22,1842.87,0.71556,0.88161,0.14669,0.14069,0.47814,0.1422,0.05243,0.62257,0.89878,0.12727,9.307e-05,9.307e-05,9.307e-05
23,1925.09,0.66632,0.91336,0.13214,0.14304,0.47882,0.13682,0.04946,0.62242,0.90322,0.12617,9.274e-05,9.274e-05,9.274e-05
24,2007.7,0.69926,0.90844,0.13677,0.12244,0.59516,0.14268,0.05944,0.54859,1.04273,0.10919,9.241e-05,9.241e-05,9.241e-05
25,2091.23,0.68509,0.89841,0.13796,0.14003,0.61466,0.1629,0.05897,0.62715,0.93836,0.13131,9.208e-05,9.208e-05,9.208e-05
26,2173.51,0.64241,0.9319,0.13263,0.13909,0.54539,0.13403,0.04821,0.62694,0.88653,0.12588,9.175e-05,9.175e-05,9.175e-05
27,2255.75,0.6513,0.89477,0.11818,0.19318,0.56696,0.20719,0.08042,0.5617,0.89908,0.11142,9.142e-05,9.142e-05,9.142e-05
28,2339.5,0.65442,0.88069,0.12537,0.16626,0.57767,0.17519,0.07354,0.53914,0.98159,0.10359,9.109e-05,9.109e-05,9.109e-05
29,2421.5,0.60515,0.89098,0.11556,0.18219,0.54741,0.18703,0.07619,0.58028,0.89592,0.11439,9.076e-05,9.076e-05,9.076e-05
30,2503.66,0.61441,0.86876,0.11959,0.21246,0.53683,0.21541,0.08067,0.60462,0.85596,0.12108,9.043e-05,9.043e-05,9.043e-05
31,2587.34,0.66454,0.84454,0.1269,0.23386,0.538,0.24732,0.10234,0.57445,0.89604,0.11407,9.01e-05,9.01e-05,9.01e-05
32,2670.83,0.645,0.85512,0.12722,0.2411,0.5414,0.25997,0.10615,0.59984,0.8554,0.12243,8.977e-05,8.977e-05,8.977e-05
33,2754.37,0.62799,0.88898,0.11788,0.20524,0.50639,0.21572,0.08378,0.6242,0.82054,0.12639,8.944e-05,8.944e-05,8.944e-05
34,2836.85,0.64276,0.86905,0.12208,0.21077,0.53598,0.22424,0.0904,0.61428,0.8035,0.12433,8.911e-05,8.911e-05,8.911e-05
35,2918.95,0.63775,0.83237,0.12661,0.25058,0.53732,0.29274,0.1278,0.56567,0.91048,0.11477,8.878e-05,8.878e-05,8.878e-05
36,3002.61,0.6556,0.80018,0.12999,0.27362,0.53732,0.30834,0.13207,0.60628,0.83298,0.12579,8.845e-05,8.845e-05,8.845e-05
37,3085.43,0.64175,0.84291,0.12698,0.29637,0.49765,0.29494,0.11232,0.65902,0.70245,0.13587,8.812e-05,8.812e-05,8.812e-05
38,3167.87,0.65978,0.76334,0.12846,0.35537,0.54674,0.37306,0.13645,0.67571,0.66639,0.14179,8.779e-05,8.779e-05,8.779e-05
39,3251.58,0.68972,0.71492,0.13795,0.42607,0.51984,0.45935,0.19386,0.63645,0.6769,0.13176,8.746e-05,8.746e-05,8.746e-05
40,3335.09,0.69134,0.66288,0.1368,0.5378,0.5575,0.54351,0.20627,0.6755,0.60676,0.1422,8.713e-05,8.713e-05,8.713e-05
41,3418.33,0.6885,0.59148,0.13182,0.5268,0.5696,0.53066,0.18708,0.72865,0.58134,0.15628,8.68e-05,8.68e-05,8.68e-05
42,3500.68,0.70939,0.62423,0.1446,0.58844,0.64694,0.58008,0.2082,0.72134,0.53803,0.15225,8.647e-05,8.647e-05,8.647e-05
43,3584.14,0.69036,0.57492,0.13395,0.65785,0.65166,0.6288,0.24476,0.67117,0.56469,0.13392,8.614e-05,8.614e-05,8.614e-05
44,3667.5,0.74169,0.55574,0.14537,0.56269,0.6438,0.61455,0.25615,0.63742,0.54252,0.12803,8.581e-05,8.581e-05,8.581e-05
45,3750.94,0.68505,0.53094,0.13703,0.61419,0.69132,0.62669,0.23325,0.6995,0.51531,0.14584,8.548e-05,8.548e-05,8.548e-05
46,3833.64,0.68293,0.54593,0.13395,0.54842,0.65338,0.60611,0.23835,0.66938,0.53955,0.13838,8.515e-05,8.515e-05,8.515e-05
47,3916.26,0.67436,0.55441,0.12021,0.59535,0.64829,0.61935,0.23446,0.69765,0.53149,0.14461,8.482e-05,8.482e-05,8.482e-05
48,3997.89,0.62856,0.53805,0.1184,0.63509,0.67766,0.64125,0.24221,0.70326,0.50961,0.14667,8.449e-05,8.449e-05,8.449e-05
49,4079.78,0.66439,0.52718,0.1275,0.59087,0.67317,0.62895,0.26377,0.65354,0.52911,0.13243,8.416e-05,8.416e-05,8.416e-05
50,4163.39,0.68367,0.53688,0.1204,0.59698,0.68191,0.61356,0.24415,0.67441,0.51745,0.13843,8.383e-05,8.383e-05,8.383e-05
51,4245.46,0.65061,0.52131,0.12167,0.61725,0.70492,0.64771,0.25453,0.67685,0.51075,0.13676,8.35e-05,8.35e-05,8.35e-05
