epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6974,1.76017,2.91635,0.02038,0.10598,0.55791,0.46992,0.44997,0.2326,1.66371,2.17868,0.0186,0.00711,0.000651852,0.000651852,0.000651852
2,67.8817,1.54864,1.80482,0.02005,0.00484,0.64852,0.4906,0.54133,0.28058,1.68189,1.93595,0.01747,0.00513,0.00131417,0.00131417,0.00131417
3,82.0602,1.62894,1.77136,0.01984,0.00315,0.659,0.47744,0.55494,0.29625,1.67537,1.80091,0.01811,0.00122,0.00197208,0.00197208,0.00197208
4,96.099,1.58409,1.75129,0.01881,0.00188,0.67032,0.57329,0.5897,0.30778,1.6033,1.95397,0.01717,0.00085,0.0019802,0.0019802,0.0019802
5,110.157,1.54363,1.48203,0.01814,0.00129,0.65664,0.62189,0.66218,0.35338,1.61449,1.57932,0.01538,0.00134,0.0019736,0.0019736,0.0019736
6,124.302,1.53009,1.45127,0.01917,0.00092,0.61025,0.55827,0.55045,0.31023,1.58694,1.70772,0.01761,0.00122,0.001967,0.001967,0.001967
7,138.195,1.51549,1.41012,0.01671,0.0007,0.76913,0.53759,0.64016,0.36569,1.58624,1.5727,0.01725,0.00073,0.0019604,0.0019604,0.0019604
8,152.263,1.51518,1.46761,0.01822,0.00062,0.77503,0.65789,0.72632,0.39407,1.57158,1.72609,0.01618,0.0004,0.0019538,0.0019538,0.0019538
9,166.262,1.46717,1.42854,0.01933,0.00069,0.68994,0.58556,0.63915,0.35711,1.60934,1.50869,0.01894,0.00048,0.0019472,0.0019472,0.0019472
10,180.138,1.43466,1.26413,0.01757,0.00035,0.62359,0.59211,0.64444,0.35438,1.57117,1.5589,0.01754,0.00449,0.0019406,0.0019406,0.0019406
11,193.951,1.44042,1.35328,0.01752,0.00069,0.72315,0.64098,0.7055,0.40506,1.54543,1.39845,0.01728,0.00053,0.001934,0.001934,0.001934
