epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0697,1.91201,3.31786,0.00619,0.51175,0.44116,0.43185,0.16516,2.07391,2.37106,0.00766,0.000652482,0.000652482,0.000652482
2,74.4941,2.03141,1.93814,0.00667,0.53996,0.52186,0.46879,0.16889,2.26252,1.94967,0.00831,0.0013148,0.0013148,0.0013148
3,90.5556,2.10053,1.92882,0.00764,0.5103,0.43107,0.41443,0.14753,2.29143,2.26243,0.00871,0.00197271,0.00197271,0.00197271
4,105.861,2.17408,1.66407,0.0073,0.64754,0.53396,0.5558,0.21197,2.19392,1.85997,0.0086,0.0019802,0.0019802,0.0019802
5,120.941,2.16355,1.67196,0.0075,0.63037,0.55615,0.55886,0.20439,2.25543,1.58457,0.00891,0.0019736,0.0019736,0.0019736
6,136.763,2.16099,1.72534,0.00737,0.56402,0.46066,0.48434,0.18092,2.24,1.82554,0.00865,0.001967,0.001967,0.001967
7,151.665,2.13268,1.71112,0.00756,0.65447,0.60861,0.61645,0.24925,2.10439,1.43327,0.00801,0.0019604,0.0019604,0.0019604
8,167.594,2.12808,1.76891,0.0077,0.58584,0.57162,0.55305,0.22411,2.0738,1.57219,0.00775,0.0019538,0.0019538,0.0019538
9,182.227,2.08469,1.61968,0.00712,0.63735,0.55548,0.56858,0.22436,2.13438,1.51865,0.00797,0.0019472,0.0019472,0.0019472
10,196.605,2.11631,1.55452,0.00691,0.62199,0.54552,0.54614,0.19323,2.37314,1.5875,0.00891,0.0019406,0.0019406,0.0019406
11,211.294,2.11005,1.52442,0.00744,0.66264,0.60102,0.60784,0.25274,2.05209,1.63104,0.00765,0.001934,0.001934,0.001934
12,226.163,2.04691,1.49892,0.00704,0.67703,0.63298,0.64169,0.26599,2.06457,1.39551,0.00781,0.0019274,0.0019274,0.0019274
13,241.787,1.96393,1.39673,0.00696,0.67636,0.63244,0.6316,0.2561,2.08717,1.59761,0.00774,0.0019208,0.0019208,0.0019208
14,256.619,1.97743,1.41106,0.00694,0.66274,0.62004,0.62822,0.25348,2.04466,1.38804,0.00754,0.0019142,0.0019142,0.0019142
15,271.162,2.01331,1.44896,0.00682,0.66441,0.63111,0.63055,0.25172,2.13514,1.30702,0.0079,0.0019076,0.0019076,0.0019076
16,285.704,1.99076,1.36798,0.00649,0.67237,0.66308,0.65908,0.26874,2.06569,1.28609,0.00778,0.001901,0.001901,0.001901
17,300.37,2.02734,1.42067,0.00691,0.70166,0.64829,0.66754,0.28686,2.02064,1.2874,0.00746,0.0018944,0.0018944,0.0018944
18,315.403,1.98457,1.38521,0.00685,0.66737,0.64764,0.64643,0.26655,2.01997,1.40001,0.00732,0.0018878,0.0018878,0.0018878
19,329.951,2.02842,1.35798,0.00678,0.71568,0.6585,0.68355,0.2998,2.02175,1.23748,0.00751,0.0018812,0.0018812,0.0018812
20,344.982,2.00352,1.30148,0.0064,0.67852,0.64725,0.64251,0.27713,2.03631,1.28318,0.00757,0.0018746,0.0018746,0.0018746
