epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4757,1.62826,2.90169,0.01881,0.09443,0.73668,0.68294,0.73806,0.41748,1.41668,1.54932,0.02049,0.0156,0.000652482,0.000652482,0.000652482
2,76.763,1.43546,1.40877,0.01793,0.00535,0.69216,0.68346,0.70219,0.37626,1.4806,1.71418,0.01964,0.0025,0.0013148,0.0013148,0.0013148
3,93.9483,1.40881,1.37479,0.01807,0.00358,0.73914,0.69536,0.75487,0.41739,1.43536,1.74326,0.02042,0.00196,0.00197271,0.00197271,0.00197271
4,110.538,1.4327,1.27721,0.01783,0.00279,0.70031,0.63215,0.705,0.39913,1.49992,2.17269,0.02078,0.0017,0.0019802,0.0019802,0.0019802
5,127.256,1.42709,1.24729,0.0181,0.00132,0.75619,0.71352,0.76201,0.46364,1.35442,1.39611,0.01976,0.0006,0.0019736,0.0019736,0.0019736
6,144.098,1.38674,1.18711,0.01619,0.00104,0.70449,0.7041,0.72622,0.42356,1.34534,1.13037,0.01929,0.00061,0.001967,0.001967,0.001967
7,160.987,1.39771,1.20969,0.01877,0.00078,0.79898,0.71901,0.79685,0.49465,1.35038,0.94365,0.01914,0.00072,0.0019604,0.0019604,0.0019604
8,177.869,1.3973,1.2179,0.01698,0.00103,0.78333,0.69939,0.77755,0.48148,1.3193,1.02318,0.01978,0.00052,0.0019538,0.0019538,0.0019538
9,194.469,1.37184,1.12282,0.01663,0.00057,0.79904,0.7487,0.81625,0.50336,1.30796,0.95118,0.01946,0.00024,0.0019472,0.0019472,0.0019472
10,211.253,1.35584,1.10027,0.01592,0.00048,0.77283,0.72293,0.78876,0.48332,1.3391,1.02897,0.01868,0.00026,0.0019406,0.0019406,0.0019406
11,227.998,1.34746,1.07275,0.01653,0.00048,0.76774,0.75134,0.80231,0.48028,1.35889,1.03132,0.02057,0.00034,0.001934,0.001934,0.001934
12,245.057,1.34362,1.06143,0.01791,0.00046,0.81358,0.73436,0.80569,0.49542,1.31821,1.01659,0.0196,0.00043,0.0019274,0.0019274,0.0019274
13,261.644,1.28287,0.98902,0.01788,0.00051,0.73052,0.68325,0.7534,0.43727,1.39157,1.93932,0.0182,0.0002,0.0019208,0.0019208,0.0019208
14,278.406,1.30671,1.07592,0.01749,0.00037,0.76907,0.72787,0.79575,0.4867,1.28848,1.01933,0.01896,0.00018,0.0019142,0.0019142,0.0019142
15,294.902,1.30737,1.06421,0.01756,0.00051,0.79405,0.74934,0.80765,0.49002,1.35626,0.98305,0.02016,0.00033,0.0019076,0.0019076,0.0019076
16,311.675,1.32011,1.02107,0.01639,0.0006,0.77356,0.72138,0.79184,0.48448,1.30675,0.99258,0.01792,0.00036,0.001901,0.001901,0.001901
17,328.304,1.33668,1.06283,0.01829,0.0004,0.81765,0.75085,0.82736,0.51004,1.32099,0.97789,0.01948,0.00029,0.0018944,0.0018944,0.0018944
18,345.596,1.29187,0.99973,0.01697,0.00035,0.79363,0.76551,0.82349,0.52219,1.2462,1.06619,0.01927,0.00012,0.0018878,0.0018878,0.0018878
19,362.377,1.34327,1.09739,0.01647,0.00046,0.77179,0.71185,0.78305,0.49087,1.29287,1.00321,0.01935,0.00015,0.0018812,0.0018812,0.0018812
20,379.13,1.29165,1.02655,0.01491,0.00025,0.81295,0.76732,0.8321,0.51532,1.24702,0.95377,0.01797,0.00029,0.0018746,0.0018746,0.0018746
21,395.613,1.25977,0.92653,0.01619,0.00035,0.81835,0.77257,0.83223,0.53382,1.25172,0.84378,0.01857,0.0001,0.001868,0.001868,0.001868
22,412.499,1.28135,1.00334,0.01661,0.0006,0.7703,0.73745,0.78328,0.50194,1.24895,0.92169,0.01877,0.00023,0.0018614,0.0018614,0.0018614
23,428.894,1.27525,0.94008,0.01672,0.00025,0.80674,0.78603,0.84202,0.5383,1.2474,0.83078,0.01822,9e-05,0.0018548,0.0018548,0.0018548
24,445.919,1.322,1.02647,0.01596,0.00025,0.80733,0.77068,0.82701,0.52144,1.28053,0.89501,0.0194,0.00015,0.0018482,0.0018482,0.0018482
25,462.68,1.28026,0.95831,0.01734,0.00028,0.79582,0.76463,0.82736,0.51694,1.27344,0.96097,0.01833,0.00018,0.0018416,0.0018416,0.0018416
26,480.72,1.25961,1.02594,0.01668,0.00044,0.80694,0.77018,0.82296,0.51421,1.3206,0.85955,0.01847,0.00034,0.001835,0.001835,0.001835
27,497.064,1.2297,0.93065,0.01754,0.00034,0.83255,0.78573,0.85716,0.54379,1.23123,0.8146,0.0186,0.00016,0.0018284,0.0018284,0.0018284
28,514.24,1.23566,0.89645,0.01796,0.00044,0.84091,0.7848,0.85684,0.54943,1.22496,0.83356,0.01854,0.00036,0.0018218,0.0018218,0.0018218
29,531.274,1.26317,0.89716,0.0161,0.00041,0.75719,0.81159,0.83465,0.52409,1.28654,0.91622,0.01824,0.00024,0.0018152,0.0018152,0.0018152
30,549.17,1.29382,0.89374,0.01628,0.00018,0.81502,0.73167,0.79775,0.49233,1.34203,0.92983,0.01957,0.00016,0.0018086,0.0018086,0.0018086
31,565.658,1.25059,0.89056,0.01616,0.00019,0.80162,0.80296,0.84059,0.52769,1.2629,0.92941,0.01853,0.00016,0.001802,0.001802,0.001802
32,582.494,1.23098,0.86179,0.01771,0.00021,0.78631,0.78939,0.83408,0.51731,1.29494,0.91772,0.02007,0.00022,0.0017954,0.0017954,0.0017954
33,599.465,1.25111,0.88327,0.01665,0.00029,0.80358,0.78211,0.82486,0.53418,1.24574,0.86555,0.01846,7e-05,0.0017888,0.0017888,0.0017888
34,615.903,1.22045,0.89084,0.01597,0.00025,0.80598,0.80094,0.84266,0.55331,1.22481,0.85611,0.01845,0.00039,0.0017822,0.0017822,0.0017822
35,633.594,1.21796,0.93052,0.01652,0.00039,0.82723,0.75348,0.82698,0.52176,1.27695,0.83266,0.01838,0.00033,0.0017756,0.0017756,0.0017756
36,650.162,1.17965,0.82672,0.01528,0.00039,0.78454,0.78884,0.83135,0.52251,1.25841,0.88891,0.0187,0.00016,0.001769,0.001769,0.001769
37,667.124,1.1969,0.8326,0.01666,0.00018,0.81431,0.75857,0.81778,0.51674,1.28485,0.87649,0.01938,8e-05,0.0017624,0.0017624,0.0017624
38,683.649,1.23104,0.87535,0.01733,0.0001,0.8364,0.79423,0.84536,0.54417,1.19393,0.81139,0.01868,9e-05,0.0017558,0.0017558,0.0017558
39,701.186,1.18471,0.82633,0.01504,0.00019,0.79437,0.78456,0.82144,0.51511,1.24811,0.8597,0.01817,0.00011,0.0017492,0.0017492,0.0017492
40,717.84,1.201,0.82229,0.01752,0.00018,0.76818,0.78278,0.82851,0.51906,1.28763,0.97337,0.01906,0.0001,0.0017426,0.0017426,0.0017426
41,735.368,1.1781,0.79949,0.01676,0.00014,0.81174,0.77337,0.83992,0.53215,1.24743,0.88557,0.01839,5e-05,0.001736,0.001736,0.001736
42,752.633,1.15612,0.84231,0.01563,0.00014,0.8434,0.78278,0.85787,0.55486,1.22522,0.81728,0.01851,0.00012,0.0017294,0.0017294,0.0017294
43,769.543,1.179,0.80101,0.01639,0.00013,0.8319,0.7688,0.84359,0.53401,1.27142,0.9218,0.01937,0.0002,0.0017228,0.0017228,0.0017228
44,787.134,1.2064,0.83501,0.01605,0.00022,0.80053,0.79079,0.84605,0.53138,1.24387,0.91276,0.01875,6e-05,0.0017162,0.0017162,0.0017162
45,803.948,1.17536,0.83,0.01657,0.00014,0.82861,0.80229,0.86248,0.55887,1.25832,0.78719,0.01817,0.00013,0.0017096,0.0017096,0.0017096
46,821.41,1.14721,0.7847,0.01567,0.00022,0.76298,0.76463,0.80185,0.49965,1.2796,0.9927,0.0181,0.00026,0.001703,0.001703,0.001703
47,837.881,1.20761,0.8014,0.01654,0.00018,0.84013,0.79164,0.84644,0.54097,1.25996,0.8836,0.01884,6e-05,0.0016964,0.0016964,0.0016964
48,854.738,1.14409,0.78268,0.01659,0.00011,0.83036,0.8043,0.85085,0.54913,1.21413,0.81186,0.01905,0.00011,0.0016898,0.0016898,0.0016898
49,871.309,1.1682,0.78336,0.01764,0.00013,0.8406,0.79441,0.8525,0.54617,1.21464,0.82135,0.01873,5e-05,0.0016832,0.0016832,0.0016832
50,888.344,1.20372,0.80545,0.0164,0.00017,0.81768,0.78116,0.83856,0.52599,1.24941,0.84241,0.01884,0.00013,0.0016766,0.0016766,0.0016766
51,904.837,1.13366,0.74866,0.01592,0.0001,0.81845,0.80363,0.84976,0.5487,1.22541,0.81081,0.0185,0.0001,0.00167,0.00167,0.00167
52,922.78,1.17079,0.81037,0.01622,0.00013,0.85545,0.78799,0.85958,0.56281,1.20912,0.75817,0.01875,8e-05,0.0016634,0.0016634,0.0016634
53,939.61,1.1588,0.75909,0.01621,7e-05,0.83793,0.79623,0.85595,0.55736,1.212,0.79562,0.01829,7e-05,0.0016568,0.0016568,0.0016568
54,956.48,1.13761,0.77404,0.01702,0.00011,0.83076,0.81103,0.8622,0.55646,1.22246,0.80752,0.01868,7e-05,0.0016502,0.0016502,0.0016502
55,973.648,1.11145,0.7776,0.01685,0.00021,0.81992,0.78413,0.83841,0.53026,1.22008,0.86329,0.0184,0.00014,0.0016436,0.0016436,0.0016436
56,990.217,1.2102,0.79736,0.01578,0.00021,0.82473,0.78144,0.84147,0.54012,1.21159,0.86193,0.01895,0.00011,0.001637,0.001637,0.001637
57,1007.34,1.15984,0.8153,0.0153,0.00018,0.83393,0.79023,0.85701,0.5532,1.20884,0.78019,0.01865,0.00013,0.0016304,0.0016304,0.0016304
58,1024.18,1.10793,0.72933,0.01614,0.00014,0.81305,0.81597,0.85796,0.55119,1.24458,0.82433,0.0189,8e-05,0.0016238,0.0016238,0.0016238
59,1040.9,1.16202,0.7889,0.01702,0.0002,0.84529,0.79018,0.8553,0.5419,1.22614,0.79728,0.01933,0.00014,0.0016172,0.0016172,0.0016172
60,1057.48,1.11213,0.72087,0.01639,0.00022,0.80812,0.81571,0.85621,0.53462,1.25093,0.78758,0.01913,0.00013,0.0016106,0.0016106,0.0016106
61,1074.61,1.14995,0.75585,0.0152,8e-05,0.8438,0.80652,0.86426,0.55591,1.23208,0.77402,0.01831,0.0001,0.001604,0.001604,0.001604
62,1091.41,1.17676,0.78247,0.01787,0.00019,0.84967,0.77808,0.85948,0.55887,1.20667,0.7977,0.01877,0.00028,0.0015974,0.0015974,0.0015974
63,1108.44,1.14049,0.74202,0.01497,9e-05,0.83925,0.7848,0.85729,0.55976,1.21239,0.7559,0.01827,4e-05,0.0015908,0.0015908,0.0015908
64,1125.33,1.13188,0.74601,0.01503,0.00014,0.8188,0.81136,0.85788,0.55965,1.20745,0.76213,0.01835,0.00011,0.0015842,0.0015842,0.0015842
65,1142.47,1.12829,0.70317,0.01624,0.00015,0.84591,0.81218,0.86472,0.57049,1.19082,0.76118,0.01893,0.00011,0.0015776,0.0015776,0.0015776
66,1159.34,1.10054,0.68702,0.01634,0.00027,0.82156,0.8205,0.86759,0.56059,1.21947,0.77485,0.01891,0.00018,0.001571,0.001571,0.001571
67,1176.13,1.13544,0.71639,0.01724,0.00026,0.84804,0.78682,0.85339,0.54239,1.2381,0.79147,0.01876,0.00043,0.0015644,0.0015644,0.0015644
68,1192.63,1.13542,0.76928,0.01834,0.00025,0.8183,0.79048,0.85345,0.5446,1.21137,0.83318,0.01864,0.00013,0.0015578,0.0015578,0.0015578
69,1209.92,1.09725,0.68934,0.01704,0.00015,0.79392,0.75185,0.82419,0.51708,1.28281,0.98224,0.01895,0.00011,0.0015512,0.0015512,0.0015512
70,1226.59,1.11968,0.6819,0.0152,0.00018,0.85503,0.81372,0.87349,0.57093,1.19294,0.7272,0.01882,4e-05,0.0015446,0.0015446,0.0015446
71,1243.84,1.11263,0.69719,0.01649,7e-05,0.83765,0.80848,0.86479,0.56489,1.21038,0.79482,0.0188,4e-05,0.001538,0.001538,0.001538
