epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.113,1.69423,3.97413,0.02135,0.09536,0.69424,0.62484,0.70999,0.41947,1.34118,1.45372,0.01963,0.02115,0.000652482,0.000652482,0.000652482
2,74.1176,1.46548,1.42189,0.02017,0.00502,0.79298,0.68477,0.78214,0.49848,1.24554,1.39352,0.0196,0.00169,0.0013148,0.0013148,0.0013148
3,91.3592,1.50348,1.35497,0.01901,0.00172,0.73639,0.70449,0.75089,0.4358,1.45314,1.61085,0.01889,0.00254,0.00197271,0.00197271,0.00197271
4,108.192,1.44957,1.32263,0.01981,0.00226,0.8027,0.69164,0.7772,0.49574,1.32307,1.09934,0.02087,0.00263,0.0019802,0.0019802,0.0019802
5,124.834,1.50746,1.32326,0.01963,0.00155,0.77273,0.69191,0.75916,0.46247,1.37631,1.55908,0.02055,0.0009,0.0019736,0.0019736,0.0019736
6,141.662,1.45149,1.25988,0.01859,0.00072,0.752,0.69975,0.76511,0.47937,1.33133,2.67174,0.01896,0.00043,0.001967,0.001967,0.001967
7,158.562,1.44924,1.27192,0.01869,0.00081,0.77753,0.69975,0.75916,0.47959,1.32179,1.24247,0.0215,0.00101,0.0019604,0.0019604,0.0019604
8,175.231,1.44964,1.16311,0.01878,0.00046,0.80804,0.73045,0.80715,0.5124,1.35064,1.2116,0.01925,0.00069,0.0019538,0.0019538,0.0019538
9,192.326,1.38705,1.12678,0.01823,0.00062,0.81703,0.72195,0.79966,0.50343,1.34144,1.25444,0.02024,0.00044,0.0019472,0.0019472,0.0019472
10,209.112,1.39948,1.07135,0.01838,0.00052,0.77439,0.69419,0.76809,0.48576,1.30207,1.09893,0.01865,0.00028,0.0019406,0.0019406,0.0019406
11,225.816,1.41604,1.09654,0.01867,0.00066,0.74004,0.67347,0.73381,0.45127,1.45503,1.34844,0.02026,0.00027,0.001934,0.001934,0.001934
12,242.682,1.35462,1.08423,0.01962,0.00059,0.7502,0.67853,0.74141,0.47756,1.29263,1.18019,0.018,0.00082,0.0019274,0.0019274,0.0019274
13,259.404,1.35059,1.09846,0.0189,0.0012,0.80654,0.7216,0.80262,0.53629,1.23526,0.93639,0.01843,0.00033,0.0019208,0.0019208,0.0019208
14,276.367,1.36454,1.14155,0.01716,0.00059,0.80749,0.7279,0.80955,0.53635,1.20141,0.98816,0.01874,0.00038,0.0019142,0.0019142,0.0019142
15,293.345,1.31264,1.01742,0.01729,0.00057,0.81844,0.72846,0.80425,0.54063,1.20983,1.03538,0.01872,0.00029,0.0019076,0.0019076,0.0019076
16,310.384,1.36571,1.03987,0.01845,0.0004,0.84057,0.74532,0.83759,0.56499,1.20377,0.81576,0.01884,0.00014,0.001901,0.001901,0.001901
17,327.497,1.36548,0.99944,0.01869,0.00083,0.83099,0.71411,0.80166,0.5275,1.2426,0.96453,0.01798,0.00044,0.0018944,0.0018944,0.0018944
18,344.248,1.37389,0.98683,0.01566,0.00044,0.82929,0.7422,0.83404,0.55744,1.24632,0.89279,0.01812,0.00027,0.0018878,0.0018878,0.0018878
19,361.19,1.34313,0.96828,0.02075,0.00033,0.83671,0.72659,0.82171,0.55091,1.21295,0.95241,0.01998,0.00017,0.0018812,0.0018812,0.0018812
20,377.981,1.32526,1.06239,0.01744,0.00037,0.82175,0.75156,0.84325,0.57359,1.17763,0.97096,0.0189,0.00011,0.0018746,0.0018746,0.0018746
21,394.843,1.29561,0.95163,0.01784,0.00021,0.84409,0.76374,0.85168,0.58488,1.18232,0.79861,0.01834,0.00013,0.001868,0.001868,0.001868
22,411.993,1.28346,0.96149,0.01827,0.00023,0.8241,0.76529,0.84424,0.58248,1.17673,0.93479,0.01851,0.00013,0.0018614,0.0018614,0.0018614
23,428.644,1.33663,1.01705,0.01832,0.00024,0.847,0.72222,0.82239,0.5628,1.19913,0.91768,0.01904,0.00016,0.0018548,0.0018548,0.0018548
24,445.371,1.30263,1.02558,0.01691,0.00027,0.85344,0.73658,0.83706,0.55293,1.20141,0.98148,0.01898,0.00012,0.0018482,0.0018482,0.0018482
25,462.287,1.2653,0.94658,0.01875,0.0003,0.84728,0.75845,0.84465,0.57343,1.17631,0.94564,0.01842,0.00049,0.0018416,0.0018416,0.0018416
26,478.935,1.28927,1.0045,0.0174,0.00044,0.8249,0.77932,0.85357,0.57887,1.17461,1.02583,0.01874,0.00034,0.001835,0.001835,0.001835
27,495.55,1.30775,0.88814,0.01731,0.0003,0.84753,0.76336,0.85132,0.57679,1.18959,0.89663,0.01858,0.00011,0.0018284,0.0018284,0.0018284
28,512.192,1.25577,0.84095,0.0191,0.00018,0.81673,0.77054,0.83557,0.56838,1.1845,0.97757,0.01805,8e-05,0.0018218,0.0018218,0.0018218
29,529.015,1.27706,0.90209,0.01831,0.00024,0.84146,0.77591,0.84953,0.57493,1.22421,0.85681,0.01872,0.00014,0.0018152,0.0018152,0.0018152
30,545.989,1.26727,0.87792,0.01848,0.00046,0.83951,0.80327,0.86829,0.60445,1.1432,0.78258,0.01792,0.00035,0.0018086,0.0018086,0.0018086
31,563.121,1.25919,0.84304,0.0183,0.00024,0.85292,0.78464,0.86733,0.60031,1.13614,0.83773,0.01875,8e-05,0.001802,0.001802,0.001802
32,579.965,1.2594,0.89742,0.01849,0.00017,0.81592,0.78527,0.84589,0.58559,1.16326,0.83183,0.01803,0.00014,0.0017954,0.0017954,0.0017954
33,596.74,1.28126,0.91334,0.01817,0.00017,0.8398,0.76592,0.83611,0.57477,1.19845,0.88393,0.01768,0.00037,0.0017888,0.0017888,0.0017888
34,613.478,1.25117,0.926,0.01781,0.00034,0.84154,0.72659,0.81997,0.54728,1.21423,1.50254,0.01957,0.00018,0.0017822,0.0017822,0.0017822
35,630.093,1.20774,0.91051,0.01911,0.00024,0.85433,0.75343,0.83188,0.58495,1.16713,0.86743,0.01856,8e-05,0.0017756,0.0017756,0.0017756
36,646.87,1.28212,0.88514,0.0188,0.00015,0.84423,0.78464,0.86106,0.59076,1.17056,0.83605,0.01854,6e-05,0.001769,0.001769,0.001769
37,663.629,1.23065,0.8796,0.01861,0.00017,0.84214,0.76257,0.84677,0.57971,1.17205,0.84093,0.01869,7e-05,0.0017624,0.0017624,0.0017624
38,681.805,1.2621,0.86462,0.02019,0.00034,0.81212,0.7809,0.85231,0.57057,1.21858,0.83076,0.01856,0.00016,0.0017558,0.0017558,0.0017558
39,698.967,1.2418,0.83152,0.02006,0.00021,0.85716,0.76841,0.85356,0.59207,1.16589,0.8109,0.01889,0.00019,0.0017492,0.0017492,0.0017492
40,715.7,1.23885,0.8115,0.01842,0.00024,0.81971,0.81024,0.86231,0.5893,1.16383,0.82649,0.01761,0.00026,0.0017426,0.0017426,0.0017426
41,733.4,1.24203,0.84214,0.01839,0.00018,0.85645,0.75718,0.84705,0.58167,1.19168,0.82283,0.01859,0.00015,0.001736,0.001736,0.001736
42,751.361,1.24724,0.83806,0.01827,0.00013,0.84623,0.75468,0.84578,0.58876,1.15573,0.95159,0.01883,0.00016,0.0017294,0.0017294,0.0017294
43,768.08,1.21212,0.82172,0.0179,0.00011,0.82873,0.7965,0.85456,0.60166,1.12524,0.86069,0.01821,8e-05,0.0017228,0.0017228,0.0017228
44,785.025,1.22217,0.88437,0.01684,0.00031,0.83664,0.7784,0.85767,0.57932,1.20802,0.91763,0.01863,0.00018,0.0017162,0.0017162,0.0017162
45,803.001,1.25528,0.90843,0.01776,0.00011,0.84411,0.76052,0.8318,0.58116,1.12564,0.82456,0.01874,3e-05,0.0017096,0.0017096,0.0017096
46,820.425,1.19073,0.82161,0.01778,7e-05,0.86918,0.77091,0.86424,0.59673,1.13895,0.75712,0.01817,8e-05,0.001703,0.001703,0.001703
47,838.615,1.24819,0.85601,0.01862,0.00014,0.84893,0.79276,0.86123,0.58876,1.16239,0.80476,0.01782,0.00011,0.0016964,0.0016964,0.0016964
48,855.063,1.21234,0.81442,0.0174,0.00023,0.85688,0.7624,0.85646,0.58225,1.1767,0.8054,0.01793,0.00013,0.0016898,0.0016898,0.0016898
49,871.525,1.21182,0.809,0.01921,0.00018,0.864,0.78777,0.85172,0.6018,1.12309,0.76484,0.01841,6e-05,0.0016832,0.0016832,0.0016832
50,888.315,1.22737,0.83822,0.01965,0.00026,0.82832,0.77702,0.84064,0.58973,1.15039,0.80868,0.01833,0.0001,0.0016766,0.0016766,0.0016766
51,904.91,1.21178,0.86423,0.01834,0.00025,0.8713,0.74469,0.83285,0.58112,1.1424,0.92832,0.01867,0.00014,0.00167,0.00167,0.00167
52,921.54,1.18501,0.79654,0.01786,0.00031,0.87745,0.76425,0.85422,0.58881,1.20297,0.8452,0.01911,0.00012,0.0016634,0.0016634,0.0016634
53,938.283,1.17036,0.76862,0.01705,0.00013,0.83697,0.78194,0.8597,0.59085,1.15211,0.83049,0.0184,0.00011,0.0016568,0.0016568,0.0016568
54,955.048,1.18505,0.78479,0.01757,0.00014,0.84299,0.79463,0.86692,0.59428,1.15794,0.8226,0.01855,0.00011,0.0016502,0.0016502,0.0016502
55,972.631,1.20903,0.8062,0.01632,0.0002,0.86548,0.76306,0.85296,0.59236,1.1601,0.8427,0.01867,0.0001,0.0016436,0.0016436,0.0016436
56,989.427,1.23174,0.79816,0.01773,0.00012,0.86852,0.78345,0.86924,0.61601,1.1164,0.83405,0.0177,5e-05,0.001637,0.001637,0.001637
