epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7144,0.95056,0.77424,0.01594,3e-05,0.76167,0.66094,0.76227,0.50433,1.26501,1.38966,0.02052,0.00017,0.000659341,0.000659341,0.000659341
2,80.3578,0.99258,0.81182,0.01505,6e-05,0.8038,0.64378,0.77354,0.52536,1.2926,1.5389,0.02005,0.00016,0.00131288,0.00131288,0.00131288
3,106.488,1.02601,0.83036,0.01618,8e-05,0.74662,0.6073,0.70683,0.46133,1.35409,1.84098,0.02071,0.00027,0.00195322,0.00195322,0.00195322
4,133.219,1.06843,0.86099,0.01574,0.00012,0.78192,0.65399,0.74864,0.48417,1.33419,1.34592,0.01952,0.0001,0.0019406,0.0019406,0.0019406
5,159.24,1.04164,0.82589,0.01672,0.00014,0.61559,0.67597,0.70547,0.46429,1.40944,1.86401,0.02046,0.00045,0.0019208,0.0019208,0.0019208
6,185.132,1.04004,0.86924,0.0166,0.0001,0.77908,0.63305,0.75719,0.51325,1.32795,1.62971,0.02065,0.00014,0.001901,0.001901,0.001901
7,211.9,1.04515,0.83173,0.01595,0.00012,0.79248,0.63921,0.76171,0.49479,1.36286,1.6025,0.01989,0.00026,0.0018812,0.0018812,0.0018812
8,237.424,1.03387,0.81938,0.01545,7e-05,0.78072,0.62651,0.74077,0.47945,1.40576,1.52423,0.0209,0.00017,0.0018614,0.0018614,0.0018614
9,263.051,1.06149,0.8901,0.01634,0.00018,0.82824,0.59227,0.75358,0.48743,1.3489,1.6012,0.02099,0.00021,0.0018416,0.0018416,0.0018416
10,289.151,1.00884,0.7923,0.01669,9e-05,0.69118,0.70601,0.74076,0.48889,1.41815,1.89797,0.02009,0.00031,0.0018218,0.0018218,0.0018218
11,315.187,1.04531,0.82743,0.01679,9e-05,0.72742,0.6073,0.70881,0.45412,1.3665,1.90335,0.02076,0.00033,0.001802,0.001802,0.001802
12,340.803,1.0362,0.86838,0.01584,0.00018,0.77451,0.57511,0.71107,0.47377,1.39204,1.71004,0.02036,0.00016,0.0017822,0.0017822,0.0017822
13,366.984,1.03642,0.77889,0.01639,0.00014,0.71359,0.72178,0.77627,0.5137,1.32011,1.6501,0.02187,0.00042,0.0017624,0.0017624,0.0017624
14,392.88,1.04618,0.7684,0.01585,0.00017,0.77825,0.69528,0.77518,0.50088,1.40393,1.55953,0.02218,0.00023,0.0017426,0.0017426,0.0017426
15,419.607,1.06142,0.85122,0.01612,0.00016,0.63158,0.64378,0.6773,0.4426,1.38071,2.08032,0.02085,0.00033,0.0017228,0.0017228,0.0017228
16,444.947,1.00189,0.78471,0.01588,0.00013,0.75526,0.6821,0.75954,0.50007,1.35614,1.72244,0.02058,0.00011,0.001703,0.001703,0.001703
17,470.915,1.02145,0.81367,0.01546,0.00011,0.8044,0.64163,0.77287,0.51389,1.31993,1.57908,0.02007,8e-05,0.0016832,0.0016832,0.0016832
18,497.262,1.00603,0.74826,0.01655,8e-05,0.70439,0.65451,0.7283,0.48824,1.37965,2.07335,0.01959,0.00011,0.0016634,0.0016634,0.0016634
19,523.042,0.9857,0.7651,0.01469,7e-05,0.67723,0.73391,0.76151,0.49803,1.36581,1.84491,0.01997,0.00028,0.0016436,0.0016436,0.0016436
20,549.369,1.00915,0.73571,0.01663,5e-05,0.73698,0.6073,0.69892,0.48103,1.32813,2.22094,0.02061,0.00016,0.0016238,0.0016238,0.0016238
21,575.379,1.01352,0.74227,0.01582,8e-05,0.68677,0.63519,0.71118,0.48355,1.38576,2.20081,0.01971,0.00031,0.001604,0.001604,0.001604
22,601.462,1.03387,0.82948,0.01582,7e-05,0.83247,0.63519,0.76201,0.51917,1.31303,1.7256,0.02037,0.00011,0.0015842,0.0015842,0.0015842
23,628.011,1.01985,0.78734,0.016,0.00013,0.70062,0.72318,0.76818,0.51769,1.32149,1.77725,0.02037,0.00027,0.0015644,0.0015644,0.0015644
24,653.688,1.00043,0.75554,0.01703,9e-05,0.71689,0.72747,0.78892,0.54801,1.29115,1.63532,0.02069,0.00024,0.0015446,0.0015446,0.0015446
25,680.504,0.98994,0.74502,0.01615,0.00016,0.7155,0.72318,0.775,0.53512,1.32106,1.74722,0.01965,0.00024,0.0015248,0.0015248,0.0015248
26,706.892,1.02396,0.799,0.01555,0.00011,0.85562,0.65236,0.77577,0.52149,1.33318,1.53005,0.02048,0.0002,0.001505,0.001505,0.001505
27,732.292,0.95799,0.69734,0.0155,0.00015,0.71269,0.6867,0.7395,0.48492,1.41083,1.97216,0.01921,0.00031,0.0014852,0.0014852,0.0014852
28,758.64,1.00011,0.72839,0.01678,0.0001,0.69889,0.72318,0.7671,0.50488,1.35666,1.66862,0.01957,0.00017,0.0014654,0.0014654,0.0014654
29,785.257,0.99548,0.74917,0.01603,7e-05,0.68257,0.70601,0.74757,0.49169,1.38149,1.81825,0.02038,0.00023,0.0014456,0.0014456,0.0014456
30,810.588,0.96288,0.72841,0.01605,9e-05,0.72235,0.6867,0.74941,0.52511,1.32276,1.92718,0.02049,0.00014,0.0014258,0.0014258,0.0014258
31,837.124,0.97309,0.66752,0.01592,0.0001,0.73051,0.70386,0.77014,0.51756,1.33908,1.89125,0.01995,0.00052,0.001406,0.001406,0.001406
32,863.352,0.96921,0.68658,0.01506,7e-05,0.8146,0.62661,0.76176,0.51453,1.30207,1.66668,0.0202,0.00014,0.0013862,0.0013862,0.0013862
33,888.698,0.97752,0.74691,0.01666,9e-05,0.79302,0.65236,0.78258,0.51898,1.34398,1.49038,0.02043,9e-05,0.0013664,0.0013664,0.0013664
34,914.763,0.94818,0.67071,0.0147,5e-05,0.72429,0.7103,0.75615,0.47982,1.41641,1.84651,0.02094,0.00021,0.0013466,0.0013466,0.0013466
35,940.885,0.97782,0.69147,0.01671,6e-05,0.78453,0.60944,0.72994,0.50213,1.3202,2.0961,0.02056,0.00021,0.0013268,0.0013268,0.0013268
36,967.27,0.96141,0.71139,0.01734,8e-05,0.79076,0.62446,0.73233,0.50311,1.32331,2.12811,0.02064,0.0002,0.001307,0.001307,0.001307
37,993.175,0.9766,0.69126,0.01567,6e-05,0.7064,0.6867,0.74043,0.49782,1.31952,1.84076,0.02045,0.00013,0.0012872,0.0012872,0.0012872
38,1020.24,0.94017,0.64429,0.01473,7e-05,0.74419,0.6867,0.76002,0.51975,1.30516,1.89001,0.01942,0.00014,0.0012674,0.0012674,0.0012674
39,1046.35,0.96227,0.69013,0.01594,5e-05,0.71298,0.67167,0.73256,0.49074,1.28759,1.98318,0.0206,0.00021,0.0012476,0.0012476,0.0012476
40,1071.55,0.93595,0.66022,0.01652,7e-05,0.62943,0.7618,0.75543,0.4985,1.32139,1.64515,0.02053,0.00028,0.0012278,0.0012278,0.0012278
41,1097.78,0.94154,0.68755,0.01609,4e-05,0.71364,0.67382,0.73179,0.4833,1.37001,2.02583,0.02022,0.00011,0.001208,0.001208,0.001208
42,1123.77,0.93585,0.6598,0.01487,5e-05,0.69397,0.69099,0.72762,0.50077,1.30378,1.81479,0.02034,0.00021,0.0011882,0.0011882,0.0011882
43,1148.86,0.92341,0.67381,0.01564,7e-05,0.69248,0.67167,0.72452,0.47217,1.38072,2.00772,0.02021,0.00016,0.0011684,0.0011684,0.0011684
44,1175.38,0.93444,0.59714,0.01576,3e-05,0.75065,0.62017,0.70621,0.48619,1.32274,2.13123,0.02096,0.00015,0.0011486,0.0011486,0.0011486
45,1201.57,0.92979,0.66534,0.01636,8e-05,0.73893,0.68026,0.73499,0.49957,1.353,1.96951,0.02021,0.00031,0.0011288,0.0011288,0.0011288
46,1227.42,0.90645,0.61675,0.01523,0.00012,0.73243,0.58155,0.68452,0.46376,1.3179,2.38253,0.02089,0.00022,0.001109,0.001109,0.001109
47,1253.11,0.92018,0.65934,0.01619,6e-05,0.72127,0.63305,0.70214,0.47917,1.32775,2.13563,0.02089,0.00024,0.0010892,0.0010892,0.0010892
48,1280,0.9121,0.64044,0.01641,4e-05,0.75949,0.64378,0.72264,0.48662,1.32546,2.03593,0.02035,0.00057,0.0010694,0.0010694,0.0010694
49,1306,0.90233,0.61708,0.01545,4e-05,0.73945,0.63948,0.72734,0.49671,1.30756,2.09355,0.02032,7e-05,0.0010496,0.0010496,0.0010496
50,1331.57,0.91469,0.63174,0.01648,3e-05,0.76923,0.66524,0.75253,0.5114,1.32312,1.93076,0.02114,3e-05,0.0010298,0.0010298,0.0010298
51,1357.63,0.90056,0.62057,0.01701,3e-05,0.77778,0.6309,0.7252,0.49696,1.32001,2.12084,0.02051,8e-05,0.00101,0.00101,0.00101
52,1384.14,0.89279,0.61093,0.01528,3e-05,0.78649,0.62446,0.73271,0.51397,1.32138,2.14212,0.02116,0.0001,0.0009902,0.0009902,0.0009902
53,1409.32,0.90222,0.61626,0.0159,3e-05,0.72195,0.63519,0.71169,0.47886,1.31455,2.12588,0.02059,9e-05,0.0009704,0.0009704,0.0009704
54,1435.32,0.92313,0.63999,0.01615,4e-05,0.71934,0.65451,0.72953,0.5,1.31158,1.98838,0.02149,7e-05,0.0009506,0.0009506,0.0009506
55,1461.48,0.89115,0.60694,0.01594,4e-05,0.76676,0.56438,0.69405,0.46766,1.31245,2.40072,0.01991,4e-05,0.0009308,0.0009308,0.0009308
56,1487,0.88477,0.5606,0.01569,6e-05,0.71935,0.56652,0.6784,0.44991,1.34822,2.36207,0.02076,0.00039,0.000911,0.000911,0.000911
57,1513.09,0.90047,0.60947,0.01425,7e-05,0.75,0.56009,0.6857,0.46312,1.31212,2.34336,0.02039,0.0001,0.0008912,0.0008912,0.0008912
58,1539.38,0.90081,0.56067,0.01589,3e-05,0.74083,0.69313,0.76276,0.51687,1.29981,1.86699,0.02093,9e-05,0.0008714,0.0008714,0.0008714
59,1565.56,0.92318,0.569,0.01496,5e-05,0.77202,0.63948,0.73391,0.49321,1.37987,2.164,0.0195,0.00022,0.0008516,0.0008516,0.0008516
60,1590.62,0.89316,0.57515,0.01464,7e-05,0.70901,0.6588,0.72305,0.48463,1.34652,2.08991,0.02031,0.00018,0.0008318,0.0008318,0.0008318
61,1616.93,0.89595,0.61314,0.01572,7e-05,0.755,0.64807,0.72926,0.49293,1.36704,2.04514,0.02062,0.00022,0.000812,0.000812,0.000812
62,1643.16,0.85468,0.56614,0.0152,9e-05,0.80114,0.60515,0.71827,0.50035,1.28665,2.17454,0.02047,8e-05,0.0007922,0.0007922,0.0007922
63,1668.36,0.85125,0.54665,0.01694,8e-05,0.76302,0.62876,0.72915,0.50424,1.29261,2.03634,0.02138,0.0001,0.0007724,0.0007724,0.0007724
64,1694.61,0.85231,0.57066,0.01583,5e-05,0.78667,0.63305,0.7368,0.50768,1.25752,2.05264,0.02115,0.00032,0.0007526,0.0007526,0.0007526
65,1720.6,0.85605,0.56772,0.01576,5e-05,0.76257,0.58584,0.70641,0.47064,1.33657,2.2874,0.02054,0.00027,0.0007328,0.0007328,0.0007328
66,1746.94,0.85005,0.53993,0.01579,4e-05,0.75854,0.66738,0.74827,0.51975,1.25605,1.92763,0.02053,0.00012,0.000713,0.000713,0.000713
67,1772.09,0.85676,0.54201,0.01581,2e-05,0.76075,0.6073,0.71885,0.50145,1.29059,2.13352,0.02026,0.00012,0.0006932,0.0006932,0.0006932
68,1798.21,0.87002,0.54374,0.01593,2e-05,0.793,0.58369,0.70823,0.48861,1.29882,2.25253,0.02058,0.00011,0.0006734,0.0006734,0.0006734
69,1824.32,0.84779,0.54491,0.0155,1e-05,0.80398,0.6073,0.72888,0.50414,1.28835,2.20473,0.02047,0.00011,0.0006536,0.0006536,0.0006536
