               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093426,            0.078941,                   0,             0.14237,             0.26436,            0.090314,            0.023171,             0.06351,            0.029991,                   0,            0.070081,           0.0033243,           0.0033243
                   1,             0.07206,            0.053699,                   0,              0.1601,             0.37931,             0.13279,            0.037572,            0.059748,             0.02431,                   0,            0.040061,           0.0066377,           0.0066377
                   2,            0.067453,            0.047726,                   0,             0.39174,             0.42633,              0.3836,              0.1187,            0.048383,            0.027127,                   0,            0.010021,           0.0099311,           0.0099311
                   3,            0.059365,             0.04388,                   0,             0.57978,             0.56897,              0.5743,               0.217,             0.04244,            0.024484,                   0,             0.00991,             0.00991,             0.00991
                   4,            0.052832,            0.043813,                   0,              0.6084,             0.61285,             0.56993,             0.22981,            0.042199,            0.025203,                   0,             0.00991,             0.00991,             0.00991
                   5,              0.0517,            0.048428,                   0,             0.70321,             0.62147,             0.65626,             0.20049,            0.041563,             0.02521,                   0,             0.00988,             0.00988,             0.00988
                   6,            0.049291,            0.048536,                   0,             0.74124,             0.68103,             0.70036,             0.31099,            0.039618,            0.025024,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.049818,            0.048431,                   0,             0.72618,             0.65987,             0.69281,             0.29884,            0.039438,            0.023316,                   0,             0.00982,             0.00982,             0.00982
                   8,            0.048296,            0.046253,                   0,             0.63725,             0.66066,             0.63696,             0.27283,            0.041475,            0.030033,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.047209,            0.045136,                   0,             0.67346,             0.67885,             0.66671,              0.3071,            0.039305,            0.024979,                   0,             0.00976,             0.00976,             0.00976
                  10,             0.04678,            0.041635,                   0,             0.80335,             0.71716,              0.7643,             0.33227,            0.037647,             0.02273,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.046925,            0.042763,                   0,             0.77029,             0.67633,             0.73173,              0.3336,            0.038392,            0.023185,                   0,              0.0097,              0.0097,              0.0097
                  12,            0.044831,            0.046126,                   0,             0.78995,             0.70925,             0.74989,             0.35435,             0.03699,            0.023371,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.045602,            0.038749,                   0,             0.80137,              0.6956,             0.75437,             0.35575,            0.036315,            0.023231,                   0,             0.00964,             0.00964,             0.00964
                  14,            0.043906,            0.042039,                   0,             0.76903,             0.72727,             0.75834,             0.36704,            0.036245,            0.023311,                   0,             0.00961,             0.00961,             0.00961
                  15,            0.043934,             0.04092,                   0,             0.78183,             0.75157,             0.78059,              0.3643,            0.036819,            0.022607,                   0,             0.00958,             0.00958,             0.00958
                  16,              0.0437,            0.043775,                   0,             0.80081,             0.71835,             0.77441,             0.35901,             0.03761,            0.022664,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.042903,             0.04252,                   0,              0.8169,             0.74474,             0.79483,             0.38353,            0.035353,            0.022249,                   0,             0.00952,             0.00952,             0.00952
                  18,             0.04143,            0.044977,                   0,             0.79639,             0.73875,             0.78895,             0.36335,            0.036917,            0.022665,                   0,             0.00949,             0.00949,             0.00949
                  19,            0.042896,            0.040433,                   0,             0.79277,              0.7594,               0.789,             0.39139,            0.035301,            0.022656,                   0,             0.00946,             0.00946,             0.00946
                  20,            0.042351,            0.040633,                   0,             0.80232,             0.75313,             0.78414,             0.37553,            0.035561,            0.021873,                   0,             0.00943,             0.00943,             0.00943
                  21,            0.041773,            0.039156,                   0,              0.8148,             0.73784,             0.78009,             0.35309,            0.036798,            0.022243,                   0,              0.0094,              0.0094,              0.0094
                  22,             0.04215,            0.043993,                   0,             0.76585,             0.72649,               0.767,             0.36755,            0.036073,             0.02203,                   0,             0.00937,             0.00937,             0.00937
                  23,            0.041397,            0.041641,                   0,             0.83394,             0.73202,             0.79445,             0.39254,            0.035042,            0.022301,                   0,             0.00934,             0.00934,             0.00934
                  24,            0.040873,            0.040469,                   0,             0.80161,              0.7547,             0.78828,             0.38461,            0.035704,            0.022292,                   0,             0.00931,             0.00931,             0.00931
                  25,            0.040349,            0.039474,                   0,             0.79092,             0.74843,             0.79341,             0.39155,            0.035024,            0.022077,                   0,             0.00928,             0.00928,             0.00928
                  26,            0.040494,            0.039955,                   0,             0.82255,             0.75313,             0.79636,              0.3863,            0.035492,            0.022395,                   0,             0.00925,             0.00925,             0.00925
                  27,             0.04041,            0.038042,                   0,             0.81876,             0.74922,              0.8103,             0.40305,            0.034689,            0.021951,                   0,             0.00922,             0.00922,             0.00922
                  28,            0.041177,            0.040048,                   0,             0.81792,             0.74922,             0.80341,             0.40534,              0.0344,            0.022222,                   0,             0.00919,             0.00919,             0.00919
                  29,            0.041122,            0.041236,                   0,             0.80935,             0.75549,             0.80448,             0.40552,            0.034472,            0.021713,                   0,             0.00916,             0.00916,             0.00916
                  30,            0.042005,            0.038325,                   0,             0.82164,             0.78344,             0.82161,             0.41033,            0.034464,            0.021971,                   0,             0.00913,             0.00913,             0.00913
                  31,            0.039708,            0.037297,                   0,             0.77635,             0.76724,             0.79458,             0.39572,            0.034763,            0.022008,                   0,              0.0091,              0.0091,              0.0091
