               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11603,            0.033742,                   0,            0.029472,             0.41698,            0.029172,           0.0066223,            0.087283,            0.030264,                   0,            0.070323,           0.0032975,           0.0032975
                   1,            0.092127,            0.031108,                   0,             0.26287,             0.32278,             0.19879,            0.052051,            0.082623,            0.025999,                   0,            0.040303,           0.0066109,           0.0066109
                   2,            0.083836,             0.02747,                   0,              0.2724,             0.42385,             0.23504,            0.061983,            0.076053,            0.020422,                   0,            0.010263,           0.0099044,           0.0099044
                   3,             0.07767,            0.022397,                   0,              0.4587,             0.48127,             0.41564,             0.14808,            0.062724,            0.022067,                   0,             0.00991,             0.00991,             0.00991
                   4,             0.07314,            0.027355,                   0,              0.4502,             0.52697,             0.40977,             0.11993,            0.064039,            0.025627,                   0,             0.00991,             0.00991,             0.00991
                   5,            0.070706,            0.026792,                   0,             0.56791,             0.57865,             0.56246,             0.20974,            0.057169,            0.020915,                   0,             0.00988,             0.00988,             0.00988
                   6,            0.068142,            0.024633,                   0,             0.64187,             0.54484,             0.55933,             0.19388,            0.059125,            0.019706,                   0,             0.00985,             0.00985,             0.00985
                   7,            0.068948,            0.024794,                   0,               0.652,             0.61298,             0.61183,             0.23748,            0.055967,            0.020544,                   0,             0.00982,             0.00982,             0.00982
                   8,            0.067042,             0.02693,                   0,             0.73653,             0.62797,             0.66919,             0.26365,            0.053701,            0.020432,                   0,             0.00979,             0.00979,             0.00979
                   9,            0.067211,            0.024734,                   0,             0.71295,             0.64732,             0.68065,             0.27567,            0.053895,            0.019799,                   0,             0.00976,             0.00976,             0.00976
                  10,            0.062672,            0.025284,                   0,             0.69825,             0.64232,              0.6746,             0.27207,            0.053596,            0.019389,                   0,             0.00973,             0.00973,             0.00973
                  11,            0.064295,            0.024513,                   0,             0.69705,             0.64794,             0.67656,             0.27561,            0.053686,            0.020638,                   0,              0.0097,              0.0097,              0.0097
                  12,             0.06414,            0.022334,                   0,             0.73052,             0.64794,             0.69434,             0.28807,            0.052801,            0.019453,                   0,             0.00967,             0.00967,             0.00967
                  13,            0.063467,            0.024937,                   0,             0.71508,             0.64856,             0.68268,             0.28535,            0.054097,            0.019039,                   0,             0.00964,             0.00964,             0.00964
                  14,            0.061613,            0.022727,                   0,             0.69496,             0.61049,             0.64701,             0.26707,             0.05325,            0.019766,                   0,             0.00961,             0.00961,             0.00961
                  15,            0.061596,            0.023749,                   0,             0.78383,             0.65106,              0.6989,             0.29623,            0.050463,            0.019196,                   0,             0.00958,             0.00958,             0.00958
                  16,            0.061773,            0.023427,                   0,             0.76336,             0.65668,             0.72844,             0.32202,            0.050907,            0.018429,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.060205,            0.023747,                   0,             0.75248,             0.67728,             0.71375,             0.30737,            0.051208,            0.019205,                   0,             0.00952,             0.00952,             0.00952
                  18,            0.061005,            0.022895,                   0,             0.77166,              0.6573,             0.71617,             0.31339,            0.050939,            0.018552,                   0,             0.00949,             0.00949,             0.00949
                  19,            0.059423,            0.021456,                   0,             0.76577,             0.67603,             0.73821,             0.32666,             0.04935,            0.018406,                   0,             0.00946,             0.00946,             0.00946
                  20,            0.060129,            0.023031,                   0,             0.75057,             0.68539,              0.7256,             0.31531,            0.050949,            0.018889,                   0,             0.00943,             0.00943,             0.00943
                  21,            0.059882,            0.022424,                   0,              0.7638,             0.66979,             0.72916,             0.31558,            0.050842,            0.018713,                   0,              0.0094,              0.0094,              0.0094
                  22,            0.060429,            0.021204,                   0,             0.76578,             0.68664,             0.73837,              0.3283,            0.049631,            0.018589,                   0,             0.00937,             0.00937,             0.00937
                  23,             0.05968,            0.022409,                   0,             0.78371,             0.67627,             0.73999,              0.3191,            0.050916,              0.0182,                   0,             0.00934,             0.00934,             0.00934
                  24,            0.058963,            0.024208,                   0,             0.79051,             0.67133,             0.72824,             0.32186,            0.049487,            0.018537,                   0,             0.00931,             0.00931,             0.00931
                  25,            0.058119,            0.024154,                   0,             0.76375,             0.67978,             0.72488,             0.32517,            0.050011,            0.018796,                   0,             0.00928,             0.00928,             0.00928
