epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1784,1.8446,2.52271,0.01634,0.06237,0.52199,0.37861,0.38769,0.1668,2.09615,5.0873,0.01828,0.00586,0.00281452,0.00281452,0.0687404
2,74.5752,1.82946,2.143,0.01652,0.00256,0.39546,0.46133,0.34784,0.13775,nan,nan,nan,nan,0.00557856,0.00557856,0.0366897
3,91.207,1.81394,1.96431,0.01692,0.00113,0.347,0.29657,0.24001,0.10114,nan,nan,nan,nan,0.00793582,0.00793582,0.00793582
4,108.228,1.86417,1.95462,0.01721,0.00054,0.5232,0.45326,0.46156,0.20702,nan,nan,nan,nan,0.00777373,0.00777373,0.00777373
5,125.458,1.69312,1.88772,0.01674,0.00061,0.41829,0.40955,0.33602,0.14331,1.96027,13.9374,0.01983,0.0005,0.00761164,0.00761164,0.00761164
6,142.571,1.72866,1.73592,0.01578,0.00092,0.59754,0.5037,0.54312,0.28769,1.75621,2.25454,0.01959,0.00015,0.00744955,0.00744955,0.00744955
7,159.724,1.75822,1.78941,0.01675,0.00072,0.53612,0.55615,0.53739,0.23848,1.90258,3.22063,0.01724,0.00078,0.00728746,0.00728746,0.00728746
8,176.695,1.71571,1.74875,0.01757,0.00102,0.5001,0.57297,0.522,0.27138,1.6313,6.12041,0.0185,0.00015,0.00712538,0.00712538,0.00712538
9,193.787,1.6926,1.67467,0.01509,0.0015,0.58583,0.52455,0.54226,0.2847,1.72963,7.51388,0.0203,0.00102,0.00696329,0.00696329,0.00696329
10,210.865,1.67776,1.69098,0.01515,0.00134,0.64734,0.6098,0.66333,0.3737,1.53252,1.3471,0.01743,0.00015,0.0068012,0.0068012,0.0068012
11,228.182,1.58815,1.57777,0.01673,0.00072,0.57164,0.51917,0.55457,0.30601,1.57967,4.15718,0.01784,0.00037,0.00663911,0.00663911,0.00663911
12,245.228,1.59725,1.59178,0.01639,0.00092,0.70286,0.57364,0.65598,0.3713,1.57767,1.74234,0.01824,8e-05,0.00647702,0.00647702,0.00647702
13,262.21,1.57097,1.54966,0.01588,0.00046,0.68967,0.62771,0.68757,0.38349,1.5476,1.74175,0.01896,0.00018,0.00631493,0.00631493,0.00631493
14,279.348,1.60656,1.5456,0.01677,0.00042,0.71758,0.61001,0.68456,0.37273,1.59646,1.23664,0.01667,0.00022,0.00615284,0.00615284,0.00615284
15,296.278,1.55649,1.40207,0.0152,0.00056,0.73891,0.65299,0.73231,0.41794,1.48772,1.11455,0.01707,0.00017,0.00599075,0.00599075,0.00599075
16,313.545,1.53934,1.37959,0.01582,0.00056,0.59962,0.58574,0.61496,0.35096,1.49994,1.34086,0.01801,0.00015,0.00582866,0.00582866,0.00582866
17,330.558,1.62664,1.53411,0.01674,0.00108,0.72177,0.64722,0.69977,0.39199,1.59236,1.16094,0.01925,0.00087,0.00566657,0.00566657,0.00566657
18,347.576,1.58428,1.33674,0.01523,0.00046,0.72248,0.60726,0.69153,0.39736,1.50056,1.17467,0.018,0.00034,0.00550448,0.00550448,0.00550448
19,364.915,1.55804,1.38901,0.0144,0.00063,0.67756,0.6967,0.71543,0.41651,1.46674,1.27932,0.01645,0.00047,0.00534239,0.00534239,0.00534239
20,381.792,1.52792,1.30099,0.01606,0.00055,0.72184,0.63525,0.71445,0.42463,1.44446,1.29825,0.01775,0.00027,0.0051803,0.0051803,0.0051803
21,398.843,1.50218,1.3269,0.01607,0.00073,0.75774,0.66241,0.75338,0.44159,1.47265,1.01727,0.01707,0.00017,0.00501821,0.00501821,0.00501821
22,416.392,1.50998,1.30743,0.01567,0.0005,0.76975,0.67384,0.76349,0.46545,1.42718,1.01142,0.01763,5e-05,0.00485613,0.00485613,0.00485613
