epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0755,2.61174,1.81025,0.01879,0.067,0.32804,0.27774,0.29647,0.16287,2.53549,2.49352,0.02297,0.00798,0.00159838,0.00159838,0.0783661
2,74.5122,2.33372,1.24557,0.01823,0.00413,0.15556,0.39005,0.12278,0.0576,2.67759,3.5568,0.02674,0.00461,0.00316757,0.00316757,0.0561979
3,91.869,2.41241,1.35744,0.02027,0.0044,0.09821,0.27707,0.06468,0.02288,3.22093,29.2808,0.02399,0.00146,0.00467213,0.00467213,0.0339651
4,109.2,2.41825,1.27653,0.01818,0.00319,0.49649,0.45797,0.45179,0.22604,nan,nan,nan,nan,0.00611206,0.00611206,0.0116676
5,126.526,2.42109,1.2685,0.01794,0.00324,0.34503,0.35508,0.241,0.10221,3.05525,4.02352,0.02502,0.00328,0.00633546,0.00633546,0.00633546
6,143.48,2.39808,1.28665,0.0186,0.00239,0.56917,0.47442,0.50057,0.23895,2.51729,4.53349,0.02168,0.00047,0.00619932,0.00619932,0.00619932
7,160.756,2.36402,1.27646,0.01911,0.00217,0.59534,0.56395,0.59903,0.31608,2.31908,1.60183,0.01873,0.00058,0.00606318,0.00606318,0.00606318
8,177.892,2.20483,1.10692,0.01934,0.00243,0.60891,0.56645,0.59554,0.32415,2.26743,1.26271,0.0197,0.00161,0.00592705,0.00592705,0.00592705
9,195.014,2.26159,1.1522,0.01812,0.0023,0.66751,0.57244,0.63028,0.34879,2.206,1.34394,0.0208,0.00148,0.00579091,0.00579091,0.00579091
10,212.261,2.22263,1.02464,0.01784,0.00236,0.60348,0.60726,0.61296,0.32658,2.30976,1.31172,0.0188,0.00021,0.00565478,0.00565478,0.00565478
11,229.724,2.2378,1.01824,0.01717,0.00196,0.65235,0.51177,0.59368,0.33136,2.37276,1.12745,0.02081,0.00087,0.00551864,0.00551864,0.00551864
12,246.683,2.18396,1.02333,0.01747,0.00262,0.71332,0.60726,0.69109,0.39654,2.08656,0.98964,0.01965,0.00024,0.0053825,0.0053825,0.0053825
13,265.283,2.11491,1.05123,0.01796,0.00167,0.73896,0.64727,0.72865,0.42114,2.09036,1.02323,0.01891,0.00018,0.00524637,0.00524637,0.00524637
14,282.503,2.11047,0.98954,0.01741,0.00161,0.74841,0.62677,0.71472,0.41878,2.04661,0.89538,0.02048,0.00042,0.00511023,0.00511023,0.00511023
15,299.454,2.13291,0.94678,0.01763,0.0016,0.70411,0.62878,0.69592,0.39587,2.11091,1.11272,0.01974,0.00015,0.0049741,0.0049741,0.0049741
16,316.636,2.12482,1.00733,0.01804,0.0017,0.68066,0.58627,0.64956,0.36616,2.09319,1.42617,0.01986,0.00072,0.00483796,0.00483796,0.00483796
17,333.736,2.11126,0.95704,0.01881,0.00225,0.72279,0.62206,0.69462,0.40706,2.09518,1.24763,0.01997,0.00019,0.00470183,0.00470183,0.00470183
18,350.693,2.04183,0.87912,0.01679,0.00167,0.72961,0.6698,0.73736,0.40938,2.11563,1.13664,0.0206,0.00023,0.00456569,0.00456569,0.00456569
19,367.409,1.99023,0.92623,0.01761,0.00196,0.75364,0.67271,0.75303,0.44969,1.98382,0.80921,0.01896,0.00108,0.00442955,0.00442955,0.00442955
20,385.048,1.99065,0.94921,0.01768,0.00297,0.76983,0.51956,0.63273,0.3914,2.09542,1.16743,0.0198,0.00012,0.00429342,0.00429342,0.00429342
21,402.065,2.00367,0.98233,0.0186,0.00192,0.7726,0.69457,0.77333,0.47468,1.92539,0.77309,0.01968,0.00018,0.00415728,0.00415728,0.00415728
22,420.297,2.00102,0.91302,0.01778,0.00167,0.78317,0.65095,0.75133,0.46337,1.98793,0.77954,0.02012,0.00047,0.00402115,0.00402115,0.00402115
23,437.103,2.01553,0.88827,0.01729,0.00194,0.74676,0.70881,0.77488,0.46555,1.98068,0.89939,0.01943,0.00018,0.00388501,0.00388501,0.00388501
24,454.324,1.89633,0.84101,0.01751,0.00176,0.76347,0.69536,0.77346,0.47023,1.9926,0.77369,0.01987,0.00026,0.00374887,0.00374887,0.00374887
25,472.334,2.03917,0.86306,0.01742,0.00185,0.78999,0.6846,0.77455,0.47372,2.00884,0.73187,0.01935,0.0002,0.00361274,0.00361274,0.00361274
26,489.324,1.95343,0.80157,0.01653,0.00175,0.77937,0.68652,0.76883,0.47985,1.9312,0.76949,0.01948,8e-05,0.0034766,0.0034766,0.0034766
27,507.095,1.98077,0.77758,0.01754,0.00171,0.79805,0.72024,0.79058,0.48172,1.91103,0.69954,0.01898,0.00059,0.00334047,0.00334047,0.00334047
28,524.498,1.94391,0.76843,0.0173,0.00208,0.77084,0.69603,0.76777,0.46299,1.95002,0.86051,0.01864,0.0005,0.00320433,0.00320433,0.00320433
