fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.52743,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.49891,0.00852,0.01,0.95378,0.0,2.99574,0.80006,7.49848,0.35077,1.6799,0.02467,0.70641,0.6455,0.0,0.11454,0.50029,0.00783,0.001,0.00384,0.51106,0.0,1.0,0.0,0.00275,0.00541,10
0.4933,0.01,0.01126,0.96009,0.001,2.99178,0.70863,7.49776,0.46138,1.40393,0.01423,0.69908,0.44525,0.0,0.08385,0.56372,0.0,0.001,0.0122,0.49696,0.00045,1.0,0.00374,0.00189,0.00832,10
0.50023,0.01,0.01402,0.93168,0.00035,2.99885,0.8005,8.0085,0.50818,1.50103,0.02565,0.89153,0.38484,0.0,0.09577,0.50148,0.01395,0.001,0.0,0.48575,0.0,0.75298,0.0,0.0,0.0,10
0.52435,0.01,0.01173,0.85612,0.00038,3.00008,0.74544,7.57951,0.68497,1.60558,0.02645,0.7337,0.38793,0.00158,0.08741,0.47813,0.01037,0.0,0.01087,0.56421,0.0,1.0,0.00633,0.00049,0.00127,6
0.52711,0.00917,0.01142,0.83289,0.0001,2.61564,0.77032,7.50688,0.46515,1.36943,0.0199,0.71254,0.41432,0.0,0.09357,0.40336,0.00739,0.001,0.01279,0.51114,0.0054,0.99657,0.0052,0.00131,0.00678,8
0.52718,0.0093,0.01149,0.85035,0.00022,2.85176,0.76317,7.52857,0.56377,1.62911,0.03245,0.73065,0.26388,0.00121,0.08648,0.44206,0.00927,0.00062,0.01115,0.56141,0.00586,0.99647,0.00551,0.00047,0.00764,8
0.53272,0.00826,0.01883,0.93445,0.00018,2.87373,0.78317,7.74604,0.47108,1.34239,0.02643,0.9,0.78732,0.0,0.10031,0.5019,0.00474,6e-05,0.0,0.49889,0.0,0.98977,0.0,0.00114,0.0028,7
0.55316,0.0079,0.01052,0.87833,0.00054,4.00034,0.79054,7.70819,0.40878,1.70276,0.02065,0.80166,0.39524,0.0,0.08228,0.46396,0.00724,0.0007,0.01149,0.50439,0.00216,0.86176,0.00467,0.00154,0.00613,6
0.53618,0.00904,0.01025,0.9493,0.00014,3.9332,0.7682,6.33229,0.46178,1.34147,0.03145,0.60801,0.30473,0.00111,0.07885,0.4026,0.00646,0.00029,0.00735,0.47486,0.0033,1.0,0.00062,0.0005,0.00294,10
0.51619,0.01,0.01,0.87267,0.0003,3.51096,0.77263,6.47646,0.56903,1.47569,0.0158,0.9,0.83699,0.00035,0.08824,0.35204,0.00679,0.0,0.00345,0.65101,0.00182,0.93954,0.00103,0.00048,0.00126,8
0.52321,0.00855,0.01,0.92274,0.00055,3.01052,0.79929,6.52492,0.45707,1.7302,0.02725,0.74826,0.41934,0.00099,0.08828,0.61178,0.00791,4e-05,0.01428,0.51597,0.0018,0.89306,0.00204,0.00113,0.00703,9
0.51673,0.00945,0.01539,0.93897,9e-05,3.55817,0.83544,6.50462,0.63989,1.99872,0.0306,0.9,0.6363,0.00087,0.08774,0.3976,0.00422,0.00081,0.00026,0.47501,0.00148,0.98209,0.00165,0.00173,0.00558,9
0.54715,0.00824,0.01694,0.85316,0.00031,3.72127,0.61144,7.92451,0.44698,1.31788,0.02434,0.68767,0.5391,2e-05,0.0943,0.42615,0.00459,0.0,0.00018,0.43708,0.00422,0.8737,0.0,0.00133,0.00633,5
0.5072,0.00951,0.01427,0.95505,0.00056,3.06865,0.73586,7.15404,0.51223,1.60766,0.02919,0.84616,0.54983,0.00041,0.09144,0.30441,0.00921,0.00066,0.01357,0.42079,0.00242,0.95105,0.00532,0.00081,0.00812,6
0.54499,0.00865,0.01438,0.91169,0.00064,5.0,0.62859,8.63081,0.43539,1.00496,0.03196,0.58769,0.28683,0.0014,0.09005,0.44725,0.00951,0.00074,0.00103,0.46161,0.00305,1.0,0.00617,0.00047,0.00279,5
0.53977,0.01,0.01,0.8728,0.0004,3.11798,0.65532,9.00706,0.28638,1.78831,0.02486,0.76526,0.24438,0.00016,0.1272,0.48979,0.00563,7e-05,0.0051,0.4563,0.00281,0.93442,0.00188,0.00045,0.00685,8
0.51221,0.01,0.01058,0.87215,0.00044,2.75294,0.73821,8.58594,0.37585,1.0476,0.01977,0.8268,0.33187,0.0012,0.12779,0.65196,0.00624,1e-05,0.01059,0.51175,0.00445,0.8764,0.00534,0.00117,0.00327,5
0.50415,0.00972,0.01433,0.98,0.00021,4.77762,0.70362,8.47686,0.25588,1.85485,0.02226,0.80347,0.29293,0.0,0.11127,0.4352,0.00698,0.00062,0.00654,0.48578,0.00025,1.0,0.00573,0.00127,0.00719,6
0.52162,0.00882,0.0111,0.95555,0.0007,4.87754,0.64645,10.12728,0.42548,1.42915,0.02049,0.81592,0.64666,0.0,0.07975,0.47469,0.00479,0.00083,0.00758,0.4939,0.00333,0.65,0.00079,0.0011,0.002,4
0.55461,0.00908,0.0153,0.89599,0.00056,4.5876,0.59374,6.4771,0.29166,1.42315,0.01985,0.52324,0.52055,5e-05,0.10942,0.51871,0.01391,5e-05,0.00799,0.37662,0.00232,0.93954,0.00064,0.00112,0.00415,5
0.55266,0.00755,0.01033,0.83634,0.00025,3.97554,0.65656,11.31823,0.32937,1.43073,0.02366,0.45902,0.40278,0.00161,0.12604,0.46124,0.00485,0.00039,0.00085,0.40541,0.0028,0.90525,0.00583,0.00134,0.0046,7
0.55325,0.00838,0.01435,0.83366,0.00038,5.0,0.95,5.53251,0.25995,1.49197,0.02869,0.4229,0.5265,0.00025,0.08522,0.42583,0.00337,0.00034,0.00661,0.42327,0.00314,0.89152,0.00181,0.00143,0.00453,6
0.53711,0.00906,0.01,0.92153,0.00048,4.86186,0.95,7.89714,0.39869,1.92627,0.02808,0.38336,0.38827,0.00012,0.11284,0.53392,0.01274,0.00032,0.00162,0.39254,0.00281,0.94361,0.00751,0.00096,0.00492,4
0.56196,0.00778,0.01304,0.84952,0.00035,4.53663,0.95,6.33096,0.41638,2.01405,0.01839,0.33441,0.49213,0.00121,0.12667,0.49611,0.0019,8e-05,0.00704,0.53257,0.00212,0.88963,0.0011,0.00127,0.00689,5
0.55846,0.00688,0.01064,0.88947,0.0004,4.20928,0.77904,10.92529,0.35686,1.47764,0.03409,0.72827,0.43237,0.00134,0.08688,0.45832,0.003,0.00017,0.01524,0.54264,0.003,0.86483,0.00483,0.00075,0.0043,7
0.54215,0.00767,0.01,0.92007,0.0008,4.43607,0.95,9.45642,0.20271,0.78394,0.03287,0.43219,0.48591,0.00108,0.10495,0.5553,0.00094,0.00072,0.0059,0.61144,0.0022,1.0,0.00185,0.001,0.00424,8
0.55243,0.00732,0.01526,0.8372,0.00037,3.8866,0.78753,7.78229,0.25737,1.76074,0.02379,0.82185,0.37278,0.00047,0.09297,0.43356,0.00543,0.00056,0.00585,0.5629,0.00342,1.0,0.00672,0.00181,0.00527,4
0.56509,0.00649,0.01091,0.89291,0.00046,4.16675,0.65974,6.13716,0.40379,1.75915,0.03116,0.55645,0.38625,0.00067,0.11974,0.54152,0.0,5e-05,0.01515,0.49087,0.00268,1.0,0.00112,0.00072,0.00638,5
0.53748,0.00839,0.01,0.88722,0.00052,3.84205,0.79438,9.73337,0.29015,2.00631,0.02593,0.45278,0.45081,0.00083,0.10192,0.5538,0.00809,0.0,0.01691,0.51893,0.00279,0.83269,0.00615,0.00136,0.00405,6
