Threshold,Image,GT_Count,Pseudo_Label_Count,Avg_Confidence
0.35,0.jpg,1,0,0.0
0.35,1003.jpg,2,1,0.4227
0.35,1004.jpg,0,0,0.0
0.35,1005.jpg,1,1,0.6889
0.35,1008.jpg,2,3,0.7357
0.35,1022.jpg,3,3,0.8255
0.35,1030.jpg,1,1,0.6411
0.35,1035.jpg,0,0,0.0
0.35,105.jpg,2,2,0.8023
0.35,1063.jpg,1,2,0.6822
0.35,1064.jpg,1,1,0.5058
0.35,1086.jpg,0,0,0.0
0.35,1088.jpg,1,1,0.8376
0.35,1089.jpg,1,1,0.9448
0.35,1090.jpg,0,0,0.0
0.35,1096.jpg,39,36,0.7386
0.35,1097.jpg,25,27,0.6549
0.35,1109.jpg,1,1,0.8706
0.35,1112.jpg,10,10,0.8112
0.35,112.jpg,0,0,0.0
0.5,0.jpg,1,0,0.0
0.5,1003.jpg,2,0,0.0
0.5,1004.jpg,0,0,0.0
0.5,1005.jpg,1,1,0.6889
0.5,1008.jpg,2,3,0.7357
0.5,1022.jpg,3,3,0.8255
0.5,1030.jpg,1,1,0.6411
0.5,1035.jpg,0,0,0.0
0.5,105.jpg,2,2,0.8023
0.5,1063.jpg,1,1,0.8999
0.5,1064.jpg,1,1,0.5058
0.5,1086.jpg,0,0,0.0
0.5,1088.jpg,1,1,0.8376
0.5,1089.jpg,1,1,0.9448
0.5,1090.jpg,0,0,0.0
0.5,1096.jpg,39,33,0.7639
0.5,1097.jpg,25,22,0.7071
0.5,1109.jpg,1,1,0.8706
0.5,1112.jpg,10,10,0.8112
0.5,112.jpg,0,0,0.0
0.7,0.jpg,1,0,0.0
0.7,1003.jpg,2,0,0.0
0.7,1004.jpg,0,0,0.0
0.7,1005.jpg,1,0,0.0
0.7,1008.jpg,2,2,0.8027
0.7,1022.jpg,3,3,0.8255
0.7,1030.jpg,1,0,0.0
0.7,1035.jpg,0,0,0.0
0.7,105.jpg,2,2,0.8023
0.7,1063.jpg,1,1,0.8999
0.7,1064.jpg,1,0,0.0
0.7,1086.jpg,0,0,0.0
0.7,1088.jpg,1,1,0.8376
0.7,1089.jpg,1,1,0.9448
0.7,1090.jpg,0,0,0.0
0.7,1096.jpg,39,25,0.8125
0.7,1097.jpg,25,11,0.8101
0.7,1109.jpg,1,1,0.8706
0.7,1112.jpg,10,9,0.8436
0.7,112.jpg,0,0,0.0
