Ep 0 | B 0 | Src:11.31 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:0.00e+00
Ep 0 | B 10 | Src:12.66 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:3.58e-06
Ep 0 | B 20 | Src:12.84 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:7.17e-06
Ep 0 | B 30 | Src:12.03 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:1.08e-05
Ep 0 | B 40 | Src:19.53 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:1.43e-05
Ep 0 | B 50 | Src:10.21 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:1.79e-05
Ep 0 | B 60 | Src:12.10 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:2.15e-05
Ep 0 | B 70 | Src:13.86 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:2.51e-05
Ep 0 | B 80 | Src:10.69 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:2.87e-05
Ep 0 | B 90 | Src:8.72 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.70 | LR:3.23e-05
Ep 1 | B 0 | Src:9.94 | Psd:30.47 | PLs:4 | AvgC:0.760 | λ:0.003 | Conf:0.70 | LR:3.33e-05
Ep 1 | B 10 | Src:12.66 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.003 | Conf:0.70 | LR:3.69e-05
Ep 1 | B 20 | Src:14.42 | Psd:80.37 | PLs:1 | AvgC:0.872 | λ:0.003 | Conf:0.70 | LR:4.05e-05
Ep 1 | B 30 | Src:15.82 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.003 | Conf:0.70 | LR:4.41e-05
Ep 1 | B 40 | Src:18.02 | Psd:35.52 | PLs:1 | AvgC:0.845 | λ:0.003 | Conf:0.70 | LR:4.77e-05
