epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5357,1.0835,0.64555,0.01726,0.00399,0.33724,0.27068,0.28094,0.14036,2.47102,4.08345,0.01782,0.00491,3.29749e-05,3.29749e-05,0.0670581
2,108.225,1.05443,0.61695,0.01518,0.00044,0.60392,0.28947,0.46298,0.27819,1.75989,3.75828,0.01656,0.00372,6.6292e-05,6.6292e-05,0.033758
3,151.366,1.00107,0.60547,0.01565,0.0001,0.63768,0.33083,0.49838,0.31175,1.69199,3.36986,0.01697,0.00204,9.95443e-05,9.95443e-05,0.000457967
4,204.393,1.02126,0.61473,0.01527,8e-05,0.61511,0.32143,0.48616,0.30441,1.67161,3.33746,0.01645,0.00211,9.97803e-05,9.97803e-05,9.97803e-05
5,247.45,0.96303,0.55446,0.01635,5e-05,0.63731,0.2312,0.44641,0.28358,1.69385,3.74016,0.01645,0.00276,9.96097e-05,9.96097e-05,9.96097e-05
6,287.921,1.01028,0.61026,0.01506,3e-05,0.65644,0.20113,0.43793,0.27964,1.70225,4.08364,0.0167,0.00248,9.93906e-05,9.93906e-05,9.93906e-05
7,322.655,0.99132,0.58457,0.01647,3e-05,0.67188,0.16165,0.42417,0.26556,1.86571,4.49417,0.01681,0.00446,9.91232e-05,9.91232e-05,9.91232e-05
8,359.19,0.93995,0.56478,0.01698,3e-05,0.64138,0.17481,0.41977,0.25874,1.80458,4.45359,0.01691,0.00291,9.88079e-05,9.88079e-05,9.88079e-05
9,390.819,0.94301,0.51793,0.01554,2e-05,0.62832,0.13346,0.39047,0.24341,1.90181,4.71282,0.01732,0.00357,9.84449e-05,9.84449e-05,9.84449e-05
10,424.267,0.97286,0.53605,0.01557,2e-05,0.67647,0.1297,0.4115,0.25718,1.86204,4.77184,0.0172,0.00628,9.80345e-05,9.80345e-05,9.80345e-05
11,456.093,0.95746,0.54751,0.01639,2e-05,0.72093,0.11654,0.42448,0.26481,1.87928,4.94867,0.01767,0.0036,9.75773e-05,9.75773e-05,9.75773e-05
12,489.512,0.9358,0.52861,0.01701,1e-05,0.57857,0.15226,0.3803,0.24243,1.81408,4.63081,0.01725,0.00281,9.70736e-05,9.70736e-05,9.70736e-05
13,523.446,0.94857,0.55248,0.01865,2e-05,0.68687,0.12782,0.41311,0.25067,1.9147,5.01857,0.01784,0.00428,9.65239e-05,9.65239e-05,9.65239e-05
14,554.537,0.9245,0.54234,0.01683,1e-05,0.57895,0.12406,0.36296,0.22164,1.91936,5.02124,0.01804,0.00404,9.59289e-05,9.59289e-05,9.59289e-05
15,586.186,0.94083,0.53043,0.01584,3e-05,0.55882,0.14286,0.36753,0.22676,1.87728,4.84074,0.01789,0.0049,9.52889e-05,9.52889e-05,9.52889e-05
16,620.988,0.93081,0.52262,0.01574,3e-05,0.60741,0.15414,0.39078,0.24199,1.73396,4.68853,0.01686,0.00416,9.46048e-05,9.46048e-05,9.46048e-05
17,655.695,0.93758,0.53796,0.01613,2e-05,0.65049,0.12594,0.39986,0.24291,1.83447,5.02628,0.01745,0.0042,9.38772e-05,9.38772e-05,9.38772e-05
