Ep 0 | B 0 | Src:11.31 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:0.00e+00
Ep 0 | B 10 | Src:12.66 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.58e-06
Ep 0 | B 20 | Src:12.84 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:7.17e-06
Ep 0 | B 30 | Src:12.03 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.08e-05
Ep 0 | B 40 | Src:19.53 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.43e-05
Ep 0 | B 50 | Src:10.21 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.79e-05
Ep 0 | B 60 | Src:12.10 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.15e-05
Ep 0 | B 70 | Src:13.86 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.51e-05
Ep 0 | B 80 | Src:10.69 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.87e-05
Ep 0 | B 90 | Src:8.72 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.23e-05
Ep 1 | B 0 | Src:9.94 | Psd:105.71 | PLs:32 | λ:0.003 | Conf:0.70 | LR:3.33e-05
Ep 1 | B 10 | Src:12.66 | Psd:82.87 | PLs:29 | λ:0.003 | Conf:0.70 | LR:3.69e-05
Ep 1 | B 20 | Src:14.54 | Psd:92.27 | PLs:26 | λ:0.003 | Conf:0.70 | LR:4.05e-05
Ep 1 | B 30 | Src:15.86 | Psd:86.25 | PLs:29 | λ:0.003 | Conf:0.70 | LR:4.41e-05
Ep 1 | B 40 | Src:18.04 | Psd:78.63 | PLs:28 | λ:0.003 | Conf:0.70 | LR:4.77e-05
Ep 1 | B 50 | Src:12.35 | Psd:85.64 | PLs:27 | λ:0.003 | Conf:0.70 | LR:5.12e-05
Ep 1 | B 60 | Src:12.32 | Psd:76.67 | PLs:28 | λ:0.003 | Conf:0.70 | LR:5.48e-05
Ep 1 | B 70 | Src:12.56 | Psd:77.82 | PLs:31 | λ:0.003 | Conf:0.70 | LR:5.84e-05
Ep 1 | B 80 | Src:10.09 | Psd:71.94 | PLs:30 | λ:0.003 | Conf:0.70 | LR:6.20e-05
Ep 1 | B 90 | Src:11.17 | Psd:71.71 | PLs:32 | λ:0.003 | Conf:0.70 | LR:6.56e-05
Ep 2 | B 0 | Src:11.91 | Psd:77.32 | PLs:31 | λ:0.005 | Conf:0.70 | LR:6.66e-05
Ep 2 | B 10 | Src:12.69 | Psd:80.88 | PLs:30 | λ:0.005 | Conf:0.70 | LR:7.02e-05
Ep 2 | B 20 | Src:15.41 | Psd:81.90 | PLs:30 | λ:0.005 | Conf:0.70 | LR:7.38e-05
Ep 2 | B 30 | Src:12.12 | Psd:68.17 | PLs:29 | λ:0.005 | Conf:0.70 | LR:7.73e-05
Ep 2 | B 40 | Src:12.23 | Psd:78.40 | PLs:30 | λ:0.005 | Conf:0.70 | LR:8.09e-05
Ep 2 | B 50 | Src:11.13 | Psd:79.45 | PLs:29 | λ:0.005 | Conf:0.70 | LR:8.45e-05
Ep 2 | B 60 | Src:16.29 | Psd:72.22 | PLs:30 | λ:0.005 | Conf:0.70 | LR:8.81e-05
Ep 2 | B 70 | Src:9.97 | Psd:79.19 | PLs:31 | λ:0.005 | Conf:0.70 | LR:9.17e-05
