epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4462,1.0835,0.64555,0.01726,0.00399,0.33724,0.27068,0.28094,0.14036,2.47102,4.08345,0.01782,0.00491,3.29749e-05,3.29749e-05,0.0670581
2,127.72,1.05402,0.61926,0.01519,0.00045,0.56627,0.35338,0.4868,0.29175,1.71211,3.31203,0.01648,0.00252,6.6292e-05,6.6292e-05,0.033758
3,176.29,1.00034,0.60675,0.01562,0.0001,0.5935,0.41165,0.52186,0.32248,1.66291,2.98474,0.01687,0.00167,9.95443e-05,9.95443e-05,0.000457967
4,224.995,1.01917,0.61179,0.01527,8e-05,0.60165,0.41165,0.52674,0.3274,1.67265,2.97706,0.0167,0.0014,9.97803e-05,9.97803e-05,9.97803e-05
5,274.23,0.96216,0.55414,0.01632,5e-05,0.60797,0.34398,0.4946,0.30521,1.66929,3.18756,0.0165,0.00354,9.96097e-05,9.96097e-05,9.96097e-05
6,324.426,1.0097,0.60414,0.01507,3e-05,0.61189,0.32895,0.48725,0.30824,1.63668,3.26985,0.01625,0.00411,9.93906e-05,9.93906e-05,9.93906e-05
7,374.517,0.99078,0.58042,0.0165,3e-05,0.639,0.28947,0.47912,0.30336,1.65171,3.41041,0.01624,0.00435,9.91232e-05,9.91232e-05,9.91232e-05
8,424.077,0.94132,0.56893,0.017,3e-05,0.62917,0.28383,0.46945,0.29182,1.67884,3.48636,0.01675,0.00204,9.88079e-05,9.88079e-05,9.88079e-05
9,474.378,0.94346,0.52376,0.01552,3e-05,0.62679,0.24624,0.45087,0.28449,1.63092,3.67465,0.01667,0.00222,9.84449e-05,9.84449e-05,9.84449e-05
10,524.665,0.97429,0.53906,0.01557,2e-05,0.70423,0.18797,0.45292,0.28897,1.6514,4.03556,0.01697,0.00328,9.80345e-05,9.80345e-05,9.80345e-05
11,574.624,0.95904,0.55415,0.01644,2e-05,0.70992,0.17481,0.44962,0.29043,1.61868,4.14017,0.01676,0.00369,9.75773e-05,9.75773e-05,9.75773e-05
12,624.934,0.93673,0.54101,0.01702,1e-05,0.67114,0.18797,0.43628,0.28117,1.6558,3.9923,0.01689,0.00294,9.70736e-05,9.70736e-05,9.70736e-05
13,674.627,0.95181,0.56054,0.01862,2e-05,0.68908,0.15414,0.42943,0.28024,1.70262,4.28119,0.01722,0.00362,9.65239e-05,9.65239e-05,9.65239e-05
14,724.173,0.92546,0.55598,0.0168,1e-05,0.66667,0.14662,0.41483,0.26802,1.6736,4.33824,0.01727,0.00441,9.59289e-05,9.59289e-05,9.59289e-05
15,774.255,0.94203,0.5479,0.01587,4e-05,0.64754,0.1485,0.40912,0.26345,1.69284,4.27345,0.01724,0.00502,9.52889e-05,9.52889e-05,9.52889e-05
16,824.303,0.92936,0.54002,0.01577,3e-05,0.69231,0.15226,0.42985,0.27881,1.7107,4.33447,0.0177,0.00795,9.46048e-05,9.46048e-05,9.46048e-05
17,874.886,0.93986,0.54103,0.01608,2e-05,0.67797,0.15038,0.42228,0.27352,1.69146,4.3026,0.01741,0.00705,9.38772e-05,9.38772e-05,9.38772e-05
18,925.865,0.95622,0.57709,0.01546,3e-05,0.7449,0.13722,0.44526,0.29123,1.70317,4.47818,0.01749,0.00652,9.31067e-05,9.31067e-05,9.31067e-05
19,976.663,0.94818,0.55811,0.0155,2e-05,0.68868,0.13722,0.42067,0.2739,1.71558,4.35789,0.01761,0.00611,9.22942e-05,9.22942e-05,9.22942e-05
20,1027.33,0.96272,0.55424,0.01629,2e-05,0.71875,0.1297,0.43077,0.28289,1.70775,4.4485,0.01776,0.00585,9.14405e-05,9.14405e-05,9.14405e-05
21,1077.98,0.9294,0.5466,0.01575,1e-05,0.72619,0.11466,0.42545,0.27879,1.70773,4.55357,0.01791,0.00577,9.05463e-05,9.05463e-05,9.05463e-05
22,1128.63,0.93026,0.55588,0.01742,2e-05,0.77647,0.12406,0.45285,0.29624,1.69947,4.51115,0.0178,0.00642,8.96127e-05,8.96127e-05,8.96127e-05
23,1179.39,0.92764,0.54984,0.01633,1e-05,0.73626,0.12594,0.43722,0.28949,1.68654,4.48332,0.01733,0.00511,8.86404e-05,8.86404e-05,8.86404e-05
24,1230.29,0.91729,0.54324,0.0153,2e-05,0.71264,0.11654,0.42257,0.27653,1.68141,4.55319,0.01723,0.00526,8.76305e-05,8.76305e-05,8.76305e-05
25,1281.07,0.95607,0.53673,0.01606,1e-05,0.75309,0.11466,0.43946,0.28459,1.70613,4.52676,0.01748,0.00657,8.65839e-05,8.65839e-05,8.65839e-05
26,1331.92,0.90932,0.53548,0.01608,1e-05,0.73418,0.10902,0.42816,0.27827,1.66374,4.60554,0.01728,0.00578,8.55018e-05,8.55018e-05,8.55018e-05
27,1382.16,0.91856,0.5179,0.01634,2e-05,0.71622,0.09962,0.41638,0.27987,1.68834,4.73984,0.01754,0.00619,8.43851e-05,8.43851e-05,8.43851e-05
28,1432.85,0.90945,0.49756,0.01574,2e-05,0.74627,0.09398,0.42708,0.27585,1.71778,4.8085,0.01773,0.00948,8.32349e-05,8.32349e-05,8.32349e-05
29,1483.66,0.91357,0.52786,0.01533,3e-05,0.73973,0.1015,0.42623,0.27351,1.73893,4.88251,0.01789,0.00911,8.20525e-05,8.20525e-05,8.20525e-05
30,1534.34,0.90623,0.51538,0.01685,2e-05,0.71622,0.09962,0.4138,0.263,1.70217,4.80983,0.01763,0.00922,8.08389e-05,8.08389e-05,8.08389e-05
31,1585.54,0.91295,0.50457,0.0148,2e-05,0.74194,0.08647,0.41947,0.27436,1.68832,4.92774,0.01756,0.00943,7.95954e-05,7.95954e-05,7.95954e-05
32,1636.31,0.91282,0.53775,0.01536,2e-05,0.7,0.09211,0.40347,0.25459,1.69508,4.85366,0.01746,0.0103,7.83231e-05,7.83231e-05,7.83231e-05
33,1686.86,0.91686,0.54732,0.01585,3e-05,0.68,0.09586,0.39511,0.25073,1.7028,4.83233,0.01792,0.00945,7.70234e-05,7.70234e-05,7.70234e-05
34,1737.64,0.91076,0.52121,0.017,1e-05,0.7,0.10526,0.40761,0.2532,1.70637,4.68094,0.01772,0.00918,7.56976e-05,7.56976e-05,7.56976e-05
