epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4109,1.28911,0.85931,0.01793,0.00691,0.48887,0.46429,0.50148,0.27614,1.79362,3.08218,0.01811,0.00201,3.29749e-05,3.29749e-05,0.0670581
2,89.9218,1.14847,0.75232,0.0172,0.00126,0.63966,0.43044,0.51915,0.29044,1.67995,2.37101,0.01596,0.00121,6.6292e-05,6.6292e-05,0.033758
3,113.741,1.15503,0.73366,0.018,0.00055,0.70301,0.49436,0.58513,0.33136,1.56142,2.08436,0.01563,0.00045,9.95443e-05,9.95443e-05,0.000457967
4,137.757,1.08705,0.70891,0.02004,0.00012,0.69964,0.5094,0.5976,0.33631,1.58418,1.98854,0.01589,0.00033,9.97803e-05,9.97803e-05,9.97803e-05
5,161.415,1.1383,0.72615,0.01782,3e-05,0.7205,0.48308,0.58863,0.33307,1.5653,1.99163,0.01591,0.00022,9.96097e-05,9.96097e-05,9.96097e-05
6,184.801,1.13125,0.70058,0.01799,7e-05,0.71153,0.4718,0.57228,0.32642,1.58284,2.13949,0.01599,0.00025,9.93906e-05,9.93906e-05,9.93906e-05
7,208.275,1.09269,0.71527,0.0196,5e-05,0.7016,0.49058,0.58241,0.32872,1.5642,2.15665,0.0161,0.00021,9.91232e-05,9.91232e-05,9.91232e-05
8,231.831,1.11473,0.69254,0.01747,3e-05,0.73503,0.46805,0.57263,0.3248,1.56825,2.23246,0.01614,0.00018,9.88079e-05,9.88079e-05,9.88079e-05
9,255.938,1.10418,0.66712,0.01903,3e-05,0.74221,0.48684,0.59026,0.33757,1.53835,2.12975,0.01604,0.0002,9.84449e-05,9.84449e-05,9.84449e-05
10,280.223,1.04366,0.65651,0.01833,3e-05,0.73025,0.47323,0.58515,0.34008,1.5355,2.1596,0.01631,0.00022,9.80345e-05,9.80345e-05,9.80345e-05
11,304.298,1.0976,0.6615,0.01835,2e-05,0.71565,0.47744,0.58231,0.34149,1.5462,2.0606,0.01624,0.00018,9.75773e-05,9.75773e-05,9.75773e-05
12,369.559,1.09667,0.67869,0.01812,4e-05,0.68971,0.54135,0.62505,0.36493,1.51289,1.90135,0.01635,0.00015,9.70736e-05,9.70736e-05,9.70736e-05
13,419.981,1.09014,0.66555,0.0183,2e-05,0.71107,0.55827,0.63926,0.37117,1.51226,1.8465,0.01644,0.00016,9.65239e-05,9.65239e-05,9.65239e-05
14,470.022,1.08189,0.67084,0.01899,2e-05,0.75031,0.53571,0.64546,0.37796,1.50971,1.8821,0.01644,0.00016,9.59289e-05,9.59289e-05,9.59289e-05
15,520.564,1.10583,0.68447,0.01895,2e-05,0.7146,0.56203,0.6518,0.38069,1.51837,1.84649,0.01648,0.00012,9.52889e-05,9.52889e-05,9.52889e-05
16,570.427,1.07834,0.68105,0.01888,2e-05,0.73861,0.53646,0.65326,0.38524,1.52447,1.82734,0.01655,0.00012,9.46048e-05,9.46048e-05,9.46048e-05
17,620.944,1.0484,0.66823,0.01692,2e-05,0.73187,0.53759,0.64422,0.38343,1.51966,1.84756,0.0165,0.00012,9.38772e-05,9.38772e-05,9.38772e-05
