Ep 0 | B 0 | Src:14.36 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:0.00e+00
Ep 0 | B 10 | Src:15.43 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:3.58e-06
Ep 0 | B 20 | Src:9.95 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:7.17e-06
Ep 0 | B 30 | Src:13.24 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:1.08e-05
Ep 0 | B 40 | Src:10.56 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:1.43e-05
Ep 0 | B 50 | Src:13.14 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:1.79e-05
Ep 0 | B 60 | Src:16.88 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:2.15e-05
Ep 0 | B 70 | Src:14.93 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:2.51e-05
Ep 0 | B 80 | Src:11.94 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:2.87e-05
Ep 0 | B 90 | Src:10.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:3.23e-05
Ep 1 | B 0 | Src:12.44 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:3.33e-05
Ep 1 | B 10 | Src:18.30 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:3.69e-05
Ep 1 | B 20 | Src:14.74 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:4.05e-05
Ep 1 | B 30 | Src:10.94 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:4.41e-05
Ep 1 | B 40 | Src:16.21 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:4.77e-05
Ep 1 | B 50 | Src:11.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:5.12e-05
Ep 1 | B 60 | Src:12.26 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:5.48e-05
Ep 1 | B 70 | Src:9.99 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:5.84e-05
Ep 1 | B 80 | Src:13.98 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:6.20e-05
Ep 1 | B 90 | Src:12.12 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:6.56e-05
Ep 2 | B 0 | Src:10.37 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:6.66e-05
Ep 2 | B 10 | Src:12.19 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:7.02e-05
Ep 2 | B 20 | Src:10.37 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:7.38e-05
Ep 2 | B 30 | Src:16.63 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:7.73e-05
Ep 2 | B 40 | Src:11.12 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:8.09e-05
Ep 2 | B 50 | Src:11.08 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:8.45e-05
Ep 2 | B 60 | Src:9.68 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:8.81e-05
Ep 2 | B 70 | Src:11.11 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:9.17e-05
Ep 2 | B 80 | Src:11.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.50 | LR:9.52e-05
