epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2207,1.14106,0.71363,0.01694,0.00423,0.54248,0.31203,0.45557,0.27586,1.85642,3.7669,0.01995,0.00207,3.29749e-05,3.29749e-05,0.0670581
2,89.095,1.07525,0.6299,0.01684,0.00053,0.67552,0.41481,0.53068,0.31697,1.61803,2.24237,0.01725,0.00042,6.6292e-05,6.6292e-05,0.033758
3,136.49,1.07344,0.62856,0.01926,0.00025,0.80068,0.39098,0.55874,0.34487,1.58184,2.38564,0.01702,0.00056,9.95443e-05,9.95443e-05,0.000457967
4,183.961,1.03312,0.62588,0.0181,5e-05,0.75438,0.39098,0.53087,0.32396,1.59014,2.33039,0.01674,0.00046,9.97803e-05,9.97803e-05,9.97803e-05
5,231.214,1.01706,0.57322,0.01794,4e-05,0.72624,0.37406,0.51665,0.32077,1.5826,2.51176,0.01667,0.00053,9.96097e-05,9.96097e-05,9.96097e-05
6,277.571,1.03578,0.59543,0.01792,2e-05,0.72303,0.3533,0.50506,0.31866,1.60598,2.60655,0.01723,0.00073,9.93906e-05,9.93906e-05,9.93906e-05
7,324.077,1.01614,0.58333,0.01782,6e-05,0.49879,0.38722,0.48203,0.30887,1.65375,2.81784,0.01703,0.00168,9.91232e-05,9.91232e-05,9.91232e-05
8,369.24,1.00716,0.611,0.0161,3e-05,0.54955,0.34398,0.46983,0.29995,1.64683,3.08414,0.01708,0.00083,9.88079e-05,9.88079e-05,9.88079e-05
9,413.153,0.9605,0.58437,0.01799,2e-05,0.5245,0.34211,0.4541,0.29222,1.62857,3.06821,0.01762,0.00181,9.84449e-05,9.84449e-05,9.84449e-05
10,455.741,0.99717,0.58026,0.01576,3e-05,0.54545,0.2594,0.41364,0.26985,1.66299,3.47504,0.01775,0.00192,9.80345e-05,9.80345e-05,9.80345e-05
11,497.296,1.00663,0.58295,0.01658,3e-05,0.55656,0.2312,0.39864,0.26095,1.67293,3.67146,0.01731,0.00163,9.75773e-05,9.75773e-05,9.75773e-05
12,536.743,1.02497,0.64524,0.01631,3e-05,0.54,0.20301,0.37104,0.24435,1.64374,3.90301,0.0172,0.00104,9.70736e-05,9.70736e-05,9.70736e-05
13,576.422,1.01032,0.6155,0.01583,2e-05,0.55556,0.23496,0.39753,0.25752,1.63642,3.72485,0.01713,0.00067,9.65239e-05,9.65239e-05,9.65239e-05
14,614.407,0.9846,0.55569,0.01691,1e-05,0.56081,0.15602,0.36397,0.24553,1.62878,4.09735,0.01745,0.00096,9.59289e-05,9.59289e-05,9.59289e-05
15,651.56,1.01319,0.59331,0.01739,2e-05,0.55634,0.1485,0.36047,0.23752,1.62159,4.19988,0.01743,0.00089,9.52889e-05,9.52889e-05,9.52889e-05
16,689.073,1.02408,0.61144,0.01739,1e-05,0.59184,0.16353,0.38318,0.2558,1.59592,4.11273,0.01726,0.00075,9.46048e-05,9.46048e-05,9.46048e-05
17,729.324,0.97685,0.59929,0.01793,1e-05,0.57065,0.19737,0.38645,0.25673,1.57888,3.93484,0.01676,0.00057,9.38772e-05,9.38772e-05,9.38772e-05
18,770.245,0.96504,0.58557,0.01615,2e-05,0.54774,0.20489,0.38202,0.24888,1.57244,3.86482,0.01705,0.00052,9.31067e-05,9.31067e-05,9.31067e-05
19,810.085,1.01171,0.59933,0.0167,1e-05,0.5615,0.19737,0.38917,0.25649,1.60691,3.86951,0.01664,0.00042,9.22942e-05,9.22942e-05,9.22942e-05
20,851.198,1.00557,0.60578,0.01643,1e-05,0.55217,0.23872,0.40811,0.26082,1.61284,3.54237,0.01704,0.00026,9.14405e-05,9.14405e-05,9.14405e-05
21,893.317,0.9973,0.56212,0.01865,2e-05,0.58049,0.22368,0.41183,0.27398,1.60281,3.71267,0.01684,0.00034,9.05463e-05,9.05463e-05,9.05463e-05
22,934.188,1.00475,0.60734,0.01629,2e-05,0.58667,0.24812,0.41976,0.28078,1.6207,3.66014,0.01698,0.00032,8.96127e-05,8.96127e-05,8.96127e-05
23,976.67,0.97587,0.56321,0.01647,2e-05,0.52752,0.21617,0.3729,0.25053,1.59448,3.83384,0.01671,0.00033,8.86404e-05,8.86404e-05,8.86404e-05
24,1019.33,1.01623,0.57357,0.01809,2e-05,0.50777,0.18421,0.34647,0.23551,1.60516,4.1364,0.0167,0.00045,8.76305e-05,8.76305e-05,8.76305e-05
25,1059.41,0.99737,0.58421,0.01764,2e-05,0.53247,0.15414,0.34809,0.23974,1.60667,4.40252,0.01685,0.00058,8.65839e-05,8.65839e-05,8.65839e-05
26,1101.16,0.99081,0.60436,0.01741,1e-05,0.52804,0.21241,0.37755,0.25151,1.60976,3.90833,0.01673,0.00043,8.55018e-05,8.55018e-05,8.55018e-05
27,1143.13,0.96347,0.54076,0.01696,1e-05,0.52133,0.20677,0.36692,0.24414,1.62708,3.98308,0.01662,0.00039,8.43851e-05,8.43851e-05,8.43851e-05
28,1185.33,1.00025,0.5817,0.01616,1e-05,0.54054,0.15038,0.34817,0.23559,1.62638,4.39247,0.01659,0.00058,8.32349e-05,8.32349e-05,8.32349e-05
29,1225.79,0.99272,0.58682,0.01715,1e-05,0.50761,0.18797,0.34658,0.22785,1.61905,4.11485,0.01662,0.0005,8.20525e-05,8.20525e-05,8.20525e-05
30,1269.06,0.99551,0.60951,0.01844,1e-05,0.51293,0.22368,0.36493,0.23157,1.59651,3.98139,0.01674,0.00046,8.08389e-05,8.08389e-05,8.08389e-05
31,1311.32,0.95971,0.52797,0.01596,1e-05,0.52558,0.21241,0.36858,0.23919,1.60604,3.91246,0.01674,0.00042,7.95954e-05,7.95954e-05,7.95954e-05
32,1355.11,1.01146,0.58784,0.017,1e-05,0.54212,0.2782,0.40983,0.26513,1.59411,3.57399,0.01648,0.00032,7.83231e-05,7.83231e-05,7.83231e-05
33,1399,0.96173,0.52333,0.01868,1e-05,0.52989,0.36654,0.45239,0.28416,1.57893,3.15974,0.0162,0.00019,7.70234e-05,7.70234e-05,7.70234e-05
34,1443.97,1.00135,0.57636,0.01814,1e-05,0.46838,0.44549,0.47254,0.29157,1.57886,2.86711,0.01609,0.00015,7.56976e-05,7.56976e-05,7.56976e-05
35,1489.69,0.97781,0.55201,0.01663,1e-05,0.61947,0.39474,0.47945,0.28716,1.57682,2.68864,0.01609,0.00013,7.43468e-05,7.43468e-05,7.43468e-05
36,1534.06,0.99362,0.5887,0.01611,2e-05,0.58241,0.39662,0.47375,0.28465,1.597,2.66089,0.01614,0.00013,7.29725e-05,7.29725e-05,7.29725e-05
37,1579.67,0.94787,0.54207,0.01723,1e-05,0.57085,0.41541,0.48652,0.29334,1.57819,2.58857,0.01596,0.00011,7.15761e-05,7.15761e-05,7.15761e-05
38,1624.81,0.99741,0.5627,0.01729,1e-05,0.58666,0.40414,0.49807,0.30432,1.57544,2.60709,0.01584,0.00013,7.01588e-05,7.01588e-05,7.01588e-05
39,1671.43,0.99411,0.59634,0.01605,1e-05,0.43528,0.50564,0.49532,0.30217,1.58511,2.71632,0.01592,0.00015,6.87222e-05,6.87222e-05,6.87222e-05
40,1716.15,0.98885,0.57087,0.01656,1e-05,0.56878,0.41729,0.49549,0.30055,1.57657,2.69457,0.01593,0.00013,6.72675e-05,6.72675e-05,6.72675e-05
41,1761.6,0.96762,0.54437,0.01775,1e-05,0.46457,0.44361,0.48524,0.30065,1.57669,2.9025,0.01608,0.00019,6.57963e-05,6.57963e-05,6.57963e-05
42,1805.81,0.97048,0.57894,0.01685,1e-05,0.50369,0.38534,0.47389,0.29347,1.56471,3.21643,0.01637,0.00021,6.43101e-05,6.43101e-05,6.43101e-05
43,1850.11,0.95934,0.54719,0.01742,1e-05,0.5566,0.33271,0.46605,0.29507,1.56699,3.53158,0.01632,0.00025,6.28101e-05,6.28101e-05,6.28101e-05
44,1895.27,0.9889,0.58285,0.01756,1e-05,0.51359,0.35526,0.45834,0.29096,1.56669,3.2997,0.01624,0.0002,6.12981e-05,6.12981e-05,6.12981e-05
45,1939.13,0.97226,0.55115,0.01648,1e-05,0.47445,0.36654,0.44967,0.28273,1.57618,3.17879,0.01628,0.0002,5.97754e-05,5.97754e-05,5.97754e-05
46,1984.63,0.98514,0.54409,0.01613,1e-05,0.45996,0.42105,0.47031,0.29267,1.58335,3.00914,0.0162,0.00015,5.82435e-05,5.82435e-05,5.82435e-05
47,2030.5,0.96989,0.53483,0.01559,1e-05,0.46067,0.46241,0.49262,0.29881,1.57737,2.90502,0.01609,0.00016,5.6704e-05,5.6704e-05,5.6704e-05
48,2076.42,0.9734,0.61331,0.01845,1e-05,0.53594,0.4016,0.48228,0.29424,1.58906,2.97571,0.01618,0.00019,5.51584e-05,5.51584e-05,5.51584e-05
49,2122.3,0.98679,0.57814,0.01503,1e-05,0.50717,0.46805,0.50898,0.31009,1.58955,2.68685,0.01616,0.00016,5.36081e-05,5.36081e-05,5.36081e-05
50,2168.23,1.00342,0.58498,0.01698,1e-05,0.61313,0.40515,0.49782,0.30147,1.58543,2.72908,0.01609,0.00016,5.20548e-05,5.20548e-05,5.20548e-05
51,2214.01,0.95037,0.5775,0.01909,1e-05,0.6116,0.38534,0.49042,0.2968,1.57843,2.7284,0.01602,0.00017,5.05e-05,5.05e-05,5.05e-05
52,2260.61,0.97686,0.56389,0.01635,1e-05,0.59388,0.42055,0.5009,0.30208,1.58092,2.64412,0.01623,0.00015,4.89452e-05,4.89452e-05,4.89452e-05
