Ep 0 | B 0 | Src:21.25 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:0.00e+00
Ep 0 | B 10 | Src:18.37 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:7.17e-05
Ep 0 | B 20 | Src:16.76 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.43e-04
Ep 0 | B 30 | Src:15.74 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.15e-04
Ep 0 | B 40 | Src:18.54 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.87e-04
Ep 0 | B 50 | Src:13.89 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.58e-04
Ep 0 | B 60 | Src:11.82 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:4.30e-04
Ep 0 | B 70 | Src:19.21 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:5.02e-04
Ep 0 | B 80 | Src:10.63 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:5.73e-04
Ep 0 | B 90 | Src:11.15 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:6.45e-04
Ep 1 | B 0 | Src:16.95 | Psd:97.08 | PLs:30 | λ:0.050 | Conf:0.70 | LR:6.67e-04
Ep 1 | B 10 | Src:15.16 | Psd:79.86 | PLs:31 | λ:0.050 | Conf:0.70 | LR:7.38e-04
Ep 1 | B 20 | Src:12.85 | Psd:73.67 | PLs:29 | λ:0.050 | Conf:0.70 | LR:8.10e-04
Ep 1 | B 30 | Src:16.37 | Psd:64.82 | PLs:30 | λ:0.050 | Conf:0.70 | LR:8.82e-04
Ep 1 | B 40 | Src:11.77 | Psd:63.99 | PLs:31 | λ:0.050 | Conf:0.70 | LR:9.53e-04
Ep 1 | B 50 | Src:17.90 | Psd:62.69 | PLs:31 | λ:0.050 | Conf:0.70 | LR:1.02e-03
Ep 1 | B 60 | Src:12.68 | Psd:60.02 | PLs:31 | λ:0.050 | Conf:0.70 | LR:1.10e-03
Ep 1 | B 70 | Src:14.45 | Psd:59.51 | PLs:29 | λ:0.050 | Conf:0.70 | LR:1.17e-03
Ep 1 | B 80 | Src:13.62 | Psd:63.53 | PLs:29 | λ:0.050 | Conf:0.70 | LR:1.24e-03
Ep 1 | B 90 | Src:12.82 | Psd:57.79 | PLs:29 | λ:0.050 | Conf:0.70 | LR:1.31e-03
Ep 2 | B 0 | Src:17.89 | Psd:56.72 | PLs:32 | λ:0.100 | Conf:0.69 | LR:1.33e-03
Ep 2 | B 10 | Src:13.59 | Psd:55.12 | PLs:26 | λ:0.100 | Conf:0.69 | LR:1.40e-03
Ep 2 | B 20 | Src:15.29 | Psd:57.33 | PLs:30 | λ:0.100 | Conf:0.69 | LR:1.48e-03
Ep 2 | B 30 | Src:13.34 | Psd:53.64 | PLs:27 | λ:0.100 | Conf:0.69 | LR:1.55e-03
Ep 2 | B 40 | Src:16.54 | Psd:48.73 | PLs:25 | λ:0.100 | Conf:0.69 | LR:1.62e-03
Ep 2 | B 50 | Src:17.33 | Psd:52.53 | PLs:29 | λ:0.100 | Conf:0.69 | LR:1.69e-03
Ep 2 | B 60 | Src:13.30 | Psd:46.90 | PLs:24 | λ:0.100 | Conf:0.69 | LR:1.76e-03
Ep 2 | B 70 | Src:19.71 | Psd:54.18 | PLs:28 | λ:0.100 | Conf:0.69 | LR:1.83e-03
Ep 2 | B 80 | Src:17.82 | Psd:46.32 | PLs:23 | λ:0.100 | Conf:0.69 | LR:1.90e-03
Ep 2 | B 90 | Src:16.07 | Psd:43.09 | PLs:18 | λ:0.100 | Conf:0.69 | LR:1.98e-03
Ep 3 | B 0 | Src:12.06 | Psd:46.73 | PLs:22 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 10 | Src:17.23 | Psd:48.97 | PLs:24 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 20 | Src:16.07 | Psd:47.81 | PLs:23 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 30 | Src:14.09 | Psd:54.06 | PLs:23 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 40 | Src:12.20 | Psd:46.66 | PLs:24 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 50 | Src:13.07 | Psd:53.45 | PLs:25 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 60 | Src:12.13 | Psd:52.65 | PLs:29 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 70 | Src:12.85 | Psd:50.16 | PLs:25 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 80 | Src:17.71 | Psd:48.98 | PLs:21 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 3 | B 90 | Src:15.18 | Psd:51.06 | PLs:23 | λ:0.150 | Conf:0.69 | LR:2.00e-03
Ep 4 | B 0 | Src:14.57 | Psd:48.74 | PLs:24 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 10 | Src:14.86 | Psd:41.85 | PLs:19 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 20 | Src:15.22 | Psd:41.33 | PLs:21 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 30 | Src:13.18 | Psd:36.56 | PLs:17 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 40 | Src:14.80 | Psd:43.29 | PLs:21 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 50 | Src:16.15 | Psd:49.00 | PLs:27 | λ:0.200 | Conf:0.68 | LR:1.99e-03
Ep 4 | B 60 | Src:16.01 | Psd:53.04 | PLs:28 | λ:0.200 | Conf:0.68 | LR:1.99e-03
