epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5482,1.15358,0.76611,0.01738,6e-05,0.53191,0.28195,0.41207,0.22228,2.08695,4.059,0.01786,0.00152,0.000659498,0.000659498,0.000659498
2,127.2,1.14063,0.7293,0.01871,8e-05,0.5,0.19737,0.35913,0.21455,1.77658,3.98741,0.01806,0.0035,0.00132584,0.00132584,0.00132584
3,175.295,1.17053,0.89171,0.01921,7e-05,0.45833,0.18609,0.3342,0.18489,1.95076,3.92897,0.01752,0.01329,0.00199089,0.00199089,0.00199089
4,223.519,1.17973,0.88067,0.01941,0.00015,0.34177,0.1015,0.23781,0.15947,1.77707,4.23774,0.01702,0.01275,0.00199561,0.00199561,0.00199561
5,272.076,1.17671,0.89139,0.01729,0.00043,0.3257,0.10895,0.1332,0.07928,1.72708,4.15066,0.01921,0.00691,0.00199219,0.00199219,0.00199219
6,320.445,1.18515,0.85591,0.01832,0.00015,0.46602,0.18045,0.33595,0.19968,1.81488,4.46192,0.01926,0.00518,0.00198781,0.00198781,0.00198781
7,368.91,1.21025,0.86811,0.01742,0.00011,0.67308,0.06579,0.3683,0.23351,1.8238,4.73154,0.0192,0.00778,0.00198246,0.00198246,0.00198246
8,417.438,1.20917,0.89124,0.01852,0.00018,0.51622,0.35902,0.45993,0.26337,1.70412,3.25941,0.01692,0.00167,0.00197616,0.00197616,0.00197616
9,466.419,1.17587,0.83275,0.01892,0.00022,0.33333,0.08083,0.21776,0.13774,1.69787,4.30769,0.01723,0.00808,0.0019689,0.0019689,0.0019689
10,515.101,1.19276,0.88641,0.01905,0.00026,0.16476,0.13534,0.16526,0.10102,1.74355,4.22468,0.01745,0.01354,0.00196069,0.00196069,0.00196069
11,563.522,1.25929,0.92449,0.0168,0.00103,0.19868,0.22556,0.20744,0.12317,1.75259,3.8398,0.01682,0.00816,0.00195155,0.00195155,0.00195155
12,611.958,1.17919,0.87295,0.01913,0.00028,0.75,0.19173,0.47584,0.30216,1.74592,3.69889,0.01811,0.01027,0.00194147,0.00194147,0.00194147
13,660.699,1.23894,0.88421,0.02015,0.00043,0.70833,0.19173,0.45807,0.25032,1.82074,3.82036,0.0189,0.01281,0.00193048,0.00193048,0.00193048
14,708.992,1.20428,0.91507,0.01804,0.0004,0.58952,0.25376,0.41849,0.24716,1.76598,3.55635,0.01717,0.01035,0.00191858,0.00191858,0.00191858
15,757.448,1.18087,0.85392,0.01738,0.00021,0.6732,0.19361,0.43968,0.26388,1.70596,3.87636,0.01705,0.01117,0.00190578,0.00190578,0.00190578
16,805.881,1.1852,0.83593,0.01904,0.00023,0.64664,0.34398,0.51908,0.31194,1.58476,3.21707,0.01661,0.00863,0.0018921,0.0018921,0.0018921
17,854.805,1.18346,0.8374,0.0188,0.00022,0.86957,0.11278,0.4931,0.29708,1.70718,4.54714,0.01758,0.0185,0.00187754,0.00187754,0.00187754
18,903.495,1.23978,0.92138,0.01939,0.00036,0.33333,0.1391,0.21049,0.13645,1.68997,4.26502,0.01688,0.015,0.00186213,0.00186213,0.00186213
19,951.849,1.17036,0.88888,0.01714,0.00012,0.09434,0.06579,0.05562,0.03722,1.68435,4.54993,0.0165,0.01159,0.00184588,0.00184588,0.00184588
20,1000.37,1.19996,0.78524,0.016,0.00038,0.63139,0.00752,0.00739,0.00593,1.72961,5.51302,0.01703,0.02818,0.00182881,0.00182881,0.00182881
21,1048.8,1.16544,0.75978,0.02087,0.0002,0.01783,0.02068,0.01423,0.00989,1.74751,5.72592,0.01853,0.04201,0.00181093,0.00181093,0.00181093
22,1096.92,1.18136,0.87158,0.01889,0.00043,0.53333,0.13534,0.34181,0.18977,1.86271,4.47059,0.0185,0.00769,0.00179225,0.00179225,0.00179225
23,1146.21,1.18343,0.88158,0.0174,0.0003,0.91429,0.06015,0.4885,0.28123,1.82002,4.40869,0.01789,0.00644,0.00177281,0.00177281,0.00177281
24,1194.14,1.18518,0.85671,0.01859,0.00015,0.41152,0.18797,0.29296,0.17682,1.73648,3.75373,0.0167,0.01491,0.00175261,0.00175261,0.00175261
25,1242.04,1.16075,0.81446,0.01842,0.00037,0.26554,0.08835,0.17761,0.11082,1.82208,4.44247,0.01752,0.07762,0.00173168,0.00173168,0.00173168
26,1290.03,1.15345,0.79127,0.01965,0.00047,0.93103,0.05075,0.49137,0.30416,1.80856,4.99926,0.01725,0.143,0.00171004,0.00171004,0.00171004
27,1337.92,1.18336,0.729,0.01902,0.00044,0.47393,0.18797,0.36037,0.20711,1.75188,4.22358,0.01719,0.08463,0.0016877,0.0016877,0.0016877
28,1386.01,1.16225,0.78135,0.01799,0.00052,0.63366,0.1203,0.38531,0.23974,1.81413,4.4832,0.0185,0.064,0.0016647,0.0016647,0.0016647
29,1433.99,1.17937,0.83475,0.01796,0.00057,0.28969,0.19549,0.28499,0.15519,1.77602,3.94937,0.01786,0.03911,0.00164105,0.00164105,0.00164105
30,1481.93,1.13468,0.73842,0.01842,0.00026,0.21099,0.18045,0.22294,0.124,1.81265,4.04725,0.01787,0.05613,0.00161678,0.00161678,0.00161678
31,1529.56,1.15732,0.73593,0.01768,0.00036,0.04852,0.03383,0.03276,0.0171,1.87719,5.09275,0.01803,0.13568,0.00159191,0.00159191,0.00159191
32,1577.53,1.1013,0.71404,0.01825,0.00049,0.07303,0.07331,0.04508,0.02518,1.93689,5.06574,0.01816,0.12826,0.00156646,0.00156646,0.00156646
33,1625.41,1.15926,0.77501,0.01774,0.00032,0.11348,0.06015,0.07534,0.02791,1.96865,5.3832,0.01996,0.16625,0.00154047,0.00154047,0.00154047
34,1673.36,1.16193,0.76394,0.01893,0.00029,0.78571,0.08271,0.42914,0.20898,1.90997,4.65427,0.01766,0.08637,0.00151395,0.00151395,0.00151395
35,1720.95,1.19684,0.8298,0.01777,0.00031,0.73077,0.03571,0.38386,0.25113,1.94612,4.39118,0.01742,0.04804,0.00148694,0.00148694,0.00148694
36,1768.53,1.12514,0.78975,0.01863,0.00074,0.675,0.05075,0.37214,0.20457,1.94947,4.83513,0.0182,0.08599,0.00145945,0.00145945,0.00145945
37,1816.23,1.14382,0.81975,0.01589,0.00076,0.07519,0.03759,0.03901,0.02288,1.76004,5.26023,0.01595,0.07391,0.00143152,0.00143152,0.00143152
38,1863.92,1.14225,0.77264,0.01883,0.00047,0.04487,0.01316,0.02274,0.01492,1.76001,5.69891,0.01635,0.05364,0.00140318,0.00140318,0.00140318
39,1911.74,1.12156,0.75257,0.01771,0.00035,0.0118,0.02068,0.00604,0.00411,1.82259,6.09261,0.0169,0.04324,0.00137444,0.00137444,0.00137444
40,1959.73,1.15058,0.76058,0.01741,0.00024,0.01726,0.03008,0.0089,0.00442,1.95304,5.9148,0.01736,0.04065,0.00134535,0.00134535,0.00134535
41,2007.65,1.11587,0.74065,0.01779,0.00017,0.0163,0.02256,0.00834,0.00477,1.88268,6.00341,0.01662,0.04068,0.00131593,0.00131593,0.00131593
42,2055.48,1.14393,0.79691,0.02066,0.00054,0.00456,0.00752,0.00155,0.00122,1.8604,6.17771,0.01882,0.04179,0.0012862,0.0012862,0.0012862
43,2103.18,1.18337,0.81953,0.01856,0.00053,0.00068,0.00564,0.00034,0.00026,1.96305,6.81102,0.0185,0.04533,0.0012562,0.0012562,0.0012562
44,2151.06,1.14169,0.74888,0.01824,0.00077,0.02469,0.02256,0.01807,0.01152,1.97591,5.6805,0.01743,0.07885,0.00122596,0.00122596,0.00122596
45,2198.92,1.11443,0.71468,0.01885,0.00027,0,0,0,0,2.13849,8.37421,0.02163,0.08126,0.00119551,0.00119551,0.00119551
46,2246.53,1.15455,0.7276,0.01929,0.00025,0,0,0,0,2.15266,7.03162,0.01936,0.09235,0.00116487,0.00116487,0.00116487
