epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0068,1.28872,0.90405,0.01805,0.00568,0.62577,0.19173,0.40045,0.20364,2.39628,4.56706,0.02007,0.00187,3.29749e-05,3.29749e-05,0.0670581
2,128.863,1.15778,0.7386,0.01895,0.00031,0.46055,0.53759,0.54001,0.31607,1.6214,2.6614,0.01688,0.00049,6.6292e-05,6.6292e-05,0.033758
3,178.195,1.15717,0.75088,0.01922,6e-05,0.69347,0.45502,0.54984,0.3117,1.63571,2.29506,0.0167,0.00044,9.95443e-05,9.95443e-05,0.000457967
4,227.119,1.13267,0.74138,0.0192,2e-05,0.69787,0.41541,0.54211,0.31383,1.59947,2.51811,0.01626,0.00041,9.97803e-05,9.97803e-05,9.97803e-05
5,276.269,1.10236,0.71757,0.01679,2e-05,0.69061,0.42669,0.54579,0.31839,1.58929,2.58769,0.0164,0.00038,9.96097e-05,9.96097e-05,9.96097e-05
6,325.988,1.09389,0.70946,0.01822,2e-05,0.50705,0.51128,0.53458,0.31262,1.59213,2.7059,0.01684,0.00058,9.93906e-05,9.93906e-05,9.93906e-05
7,374.958,1.11402,0.69078,0.01705,2e-05,0.46575,0.51128,0.52415,0.31238,1.61522,2.73853,0.01671,0.00047,9.91232e-05,9.91232e-05,9.91232e-05
8,423.993,1.09901,0.73636,0.0182,2e-05,0.58088,0.44808,0.52449,0.30667,1.62137,2.6172,0.01662,0.00036,9.88079e-05,9.88079e-05,9.88079e-05
9,473.565,1.0846,0.6601,0.0188,1e-05,0.456,0.42857,0.484,0.28893,1.65573,2.86922,0.01747,0.00053,9.84449e-05,9.84449e-05,9.84449e-05
10,522.68,1.08065,0.69807,0.01852,2e-05,0.51319,0.40226,0.48183,0.29798,1.65027,3.01852,0.01739,0.00048,9.80345e-05,9.80345e-05,9.80345e-05
11,571.532,1.16922,0.76201,0.01673,2e-05,0.52821,0.38722,0.47973,0.29269,1.65523,3.10046,0.0177,0.00079,9.75773e-05,9.75773e-05,9.75773e-05
12,620.572,1.07268,0.7126,0.01897,2e-05,0.52073,0.37782,0.46227,0.28186,1.63379,3.17965,0.0174,0.00071,9.70736e-05,9.70736e-05,9.70736e-05
13,669.654,1.08866,0.68239,0.01979,2e-05,0.55631,0.30639,0.43386,0.26901,1.64655,3.39406,0.01741,0.00079,9.65239e-05,9.65239e-05,9.65239e-05
14,718.699,1.07895,0.72264,0.0179,1e-05,0.55732,0.32895,0.4484,0.27713,1.64813,3.34836,0.01748,0.00077,9.59289e-05,9.59289e-05,9.59289e-05
15,767.591,1.078,0.70015,0.01692,1e-05,0.54469,0.36654,0.45829,0.27991,1.6532,3.2296,0.01742,0.00073,9.52889e-05,9.52889e-05,9.52889e-05
16,816.557,1.06197,0.68407,0.01893,1e-05,0.5443,0.32331,0.43662,0.2682,1.65672,3.35308,0.01756,0.00098,9.46048e-05,9.46048e-05,9.46048e-05
17,865.849,1.06388,0.70214,0.01821,2e-05,0.56228,0.29699,0.43103,0.26722,1.6687,3.46057,0.0178,0.00117,9.38772e-05,9.38772e-05,9.38772e-05
18,915.03,1.11543,0.70677,0.01852,1e-05,0.56989,0.29887,0.43961,0.27513,1.66912,3.42753,0.01816,0.00097,9.31067e-05,9.31067e-05,9.31067e-05
