Ep 0 | B 0 | Src:21.25 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:0.00e+00
Ep 0 | B 10 | Src:21.39 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.58e-06
Ep 0 | B 20 | Src:24.58 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:7.17e-06
Ep 0 | B 30 | Src:18.88 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.08e-05
Ep 0 | B 40 | Src:21.16 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.43e-05
Ep 0 | B 50 | Src:15.56 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.79e-05
Ep 0 | B 60 | Src:14.15 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.15e-05
Ep 0 | B 70 | Src:20.20 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.51e-05
Ep 0 | B 80 | Src:12.51 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.87e-05
Ep 0 | B 90 | Src:11.65 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.23e-05
Ep 1 | B 0 | Src:16.78 | Psd:104.98 | PLs:32 | λ:0.005 | Conf:0.70 | LR:3.33e-05
Ep 1 | B 10 | Src:17.99 | Psd:91.22 | PLs:31 | λ:0.005 | Conf:0.70 | LR:3.69e-05
Ep 1 | B 20 | Src:13.31 | Psd:94.48 | PLs:32 | λ:0.005 | Conf:0.70 | LR:4.05e-05
Ep 1 | B 30 | Src:15.80 | Psd:91.21 | PLs:29 | λ:0.005 | Conf:0.70 | LR:4.41e-05
Ep 1 | B 40 | Src:12.23 | Psd:96.50 | PLs:27 | λ:0.005 | Conf:0.70 | LR:4.77e-05
Ep 1 | B 50 | Src:17.83 | Psd:87.22 | PLs:29 | λ:0.005 | Conf:0.70 | LR:5.12e-05
Ep 1 | B 60 | Src:13.12 | Psd:86.39 | PLs:31 | λ:0.005 | Conf:0.70 | LR:5.48e-05
Ep 1 | B 70 | Src:12.13 | Psd:84.62 | PLs:32 | λ:0.005 | Conf:0.70 | LR:5.84e-05
Ep 1 | B 80 | Src:13.47 | Psd:87.70 | PLs:31 | λ:0.005 | Conf:0.70 | LR:6.20e-05
Ep 1 | B 90 | Src:12.11 | Psd:84.66 | PLs:30 | λ:0.005 | Conf:0.70 | LR:6.56e-05
Ep 2 | B 0 | Src:18.37 | Psd:96.58 | PLs:30 | λ:0.010 | Conf:0.70 | LR:6.66e-05
Ep 2 | B 10 | Src:12.35 | Psd:86.33 | PLs:30 | λ:0.010 | Conf:0.70 | LR:7.02e-05
Ep 2 | B 20 | Src:15.39 | Psd:90.43 | PLs:29 | λ:0.010 | Conf:0.70 | LR:7.38e-05
Ep 2 | B 30 | Src:11.40 | Psd:75.92 | PLs:30 | λ:0.010 | Conf:0.70 | LR:7.73e-05
Ep 2 | B 40 | Src:15.44 | Psd:90.69 | PLs:30 | λ:0.010 | Conf:0.70 | LR:8.09e-05
