Ep 0 | B 0 | Src:21.25 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:0.00e+00
Ep 0 | B 10 | Src:21.39 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.58e-06
Ep 0 | B 20 | Src:24.58 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:7.17e-06
Ep 0 | B 30 | Src:18.88 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.08e-05
Ep 0 | B 40 | Src:21.16 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.43e-05
Ep 0 | B 50 | Src:15.56 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:1.79e-05
Ep 0 | B 60 | Src:14.15 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.15e-05
Ep 0 | B 70 | Src:20.20 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.51e-05
Ep 0 | B 80 | Src:12.51 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:2.87e-05
Ep 0 | B 90 | Src:11.65 | Psd:0.00 | PLs:0 | λ:0.000 | Conf:0.70 | LR:3.23e-05
Ep 1 | B 0 | Src:16.78 | Psd:104.98 | PLs:32 | λ:0.003 | Conf:0.70 | LR:3.33e-05
Ep 1 | B 10 | Src:17.99 | Psd:91.19 | PLs:31 | λ:0.003 | Conf:0.70 | LR:3.69e-05
Ep 1 | B 20 | Src:13.30 | Psd:94.85 | PLs:31 | λ:0.003 | Conf:0.70 | LR:4.05e-05
Ep 1 | B 30 | Src:15.79 | Psd:92.76 | PLs:30 | λ:0.003 | Conf:0.70 | LR:4.41e-05
Ep 1 | B 40 | Src:12.23 | Psd:96.00 | PLs:26 | λ:0.003 | Conf:0.70 | LR:4.77e-05
Ep 1 | B 50 | Src:17.81 | Psd:87.98 | PLs:29 | λ:0.003 | Conf:0.70 | LR:5.12e-05
Ep 1 | B 60 | Src:13.10 | Psd:87.52 | PLs:31 | λ:0.003 | Conf:0.70 | LR:5.48e-05
Ep 1 | B 70 | Src:12.14 | Psd:86.75 | PLs:31 | λ:0.003 | Conf:0.70 | LR:5.84e-05
Ep 1 | B 80 | Src:13.46 | Psd:89.90 | PLs:31 | λ:0.003 | Conf:0.70 | LR:6.20e-05
Ep 1 | B 90 | Src:12.09 | Psd:85.11 | PLs:30 | λ:0.003 | Conf:0.70 | LR:6.56e-05
Ep 2 | B 0 | Src:18.36 | Psd:98.26 | PLs:30 | λ:0.005 | Conf:0.70 | LR:6.66e-05
Ep 2 | B 10 | Src:12.33 | Psd:88.41 | PLs:30 | λ:0.005 | Conf:0.70 | LR:7.02e-05
Ep 2 | B 20 | Src:15.36 | Psd:93.75 | PLs:29 | λ:0.005 | Conf:0.70 | LR:7.38e-05
Ep 2 | B 30 | Src:11.38 | Psd:79.67 | PLs:30 | λ:0.005 | Conf:0.70 | LR:7.73e-05
Ep 2 | B 40 | Src:15.42 | Psd:89.43 | PLs:30 | λ:0.005 | Conf:0.70 | LR:8.09e-05
Ep 2 | B 50 | Src:14.78 | Psd:95.23 | PLs:28 | λ:0.005 | Conf:0.70 | LR:8.45e-05
Ep 2 | B 60 | Src:11.52 | Psd:80.28 | PLs:29 | λ:0.005 | Conf:0.70 | LR:8.81e-05
Ep 2 | B 70 | Src:19.35 | Psd:81.43 | PLs:29 | λ:0.005 | Conf:0.70 | LR:9.17e-05
Ep 2 | B 80 | Src:15.86 | Psd:87.41 | PLs:29 | λ:0.005 | Conf:0.70 | LR:9.52e-05
Ep 2 | B 90 | Src:15.02 | Psd:88.13 | PLs:32 | λ:0.005 | Conf:0.70 | LR:9.88e-05
Ep 3 | B 0 | Src:11.63 | Psd:94.81 | PLs:29 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 10 | Src:15.99 | Psd:86.95 | PLs:31 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 20 | Src:14.22 | Psd:89.15 | PLs:31 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 30 | Src:13.83 | Psd:92.31 | PLs:29 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 40 | Src:10.37 | Psd:81.05 | PLs:30 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 50 | Src:11.48 | Psd:88.16 | PLs:30 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 60 | Src:10.97 | Psd:93.45 | PLs:30 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 70 | Src:11.83 | Psd:86.27 | PLs:30 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 80 | Src:15.57 | Psd:83.21 | PLs:26 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 3 | B 90 | Src:14.45 | Psd:84.83 | PLs:31 | λ:0.007 | Conf:0.70 | LR:9.98e-05
Ep 4 | B 0 | Src:11.23 | Psd:87.06 | PLs:30 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 10 | Src:14.28 | Psd:81.24 | PLs:30 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 20 | Src:13.96 | Psd:90.07 | PLs:29 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 30 | Src:12.94 | Psd:92.17 | PLs:29 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 40 | Src:12.82 | Psd:81.28 | PLs:31 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 50 | Src:14.15 | Psd:86.00 | PLs:29 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 60 | Src:15.07 | Psd:88.07 | PLs:30 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 70 | Src:14.02 | Psd:77.07 | PLs:29 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 80 | Src:20.55 | Psd:33.47 | PLs:11 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 4 | B 90 | Src:17.85 | Psd:73.11 | PLs:26 | λ:0.010 | Conf:0.70 | LR:9.96e-05
Ep 5 | B 0 | Src:12.20 | Psd:89.09 | PLs:28 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 10 | Src:13.93 | Psd:81.92 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 20 | Src:13.70 | Psd:92.70 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 30 | Src:13.73 | Psd:86.79 | PLs:27 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 40 | Src:15.41 | Psd:81.05 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 50 | Src:13.71 | Psd:83.67 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 60 | Src:13.80 | Psd:91.26 | PLs:28 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 70 | Src:14.02 | Psd:77.15 | PLs:31 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 80 | Src:12.60 | Psd:79.15 | PLs:30 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 90 | Src:16.73 | Psd:86.30 | PLs:29 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 6 | B 0 | Src:9.28 | Psd:84.73 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 10 | Src:14.59 | Psd:83.36 | PLs:32 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 20 | Src:14.41 | Psd:81.69 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 30 | Src:10.87 | Psd:75.25 | PLs:31 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 40 | Src:19.11 | Psd:80.79 | PLs:30 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 50 | Src:10.92 | Psd:90.07 | PLs:32 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 60 | Src:13.42 | Psd:76.81 | PLs:29 | λ:0.015 | Conf:0.70 | LR:9.91e-05
