epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,64.496,1.28872,0.90405,0.01805,0.00568,0.62577,0.19173,0.40045,0.20364,2.39628,4.56706,0.02007,0.00187,3.29749e-05,3.29749e-05,0.0670581
2,128.214,1.1586,0.7361,0.01896,0.00031,0.46044,0.54699,0.54649,0.31932,1.63146,2.62618,0.01682,0.00053,6.6292e-05,6.6292e-05,0.033758
3,177.328,1.15736,0.74783,0.0192,9e-05,0.69171,0.46241,0.56417,0.31763,1.63135,2.2448,0.0167,0.00047,9.95443e-05,9.95443e-05,0.000457967
4,226.246,1.13552,0.73656,0.01921,3e-05,0.70092,0.44493,0.5624,0.31962,1.63391,2.38485,0.01648,0.00041,9.97803e-05,9.97803e-05,9.97803e-05
5,275.616,1.10259,0.7161,0.01681,3e-05,0.70994,0.43797,0.57054,0.32584,1.60039,2.41693,0.01639,0.00031,9.96097e-05,9.96097e-05,9.96097e-05
6,324.44,1.09513,0.70454,0.01828,2e-05,0.7271,0.42669,0.56666,0.32113,1.60484,2.50335,0.01667,0.00046,9.93906e-05,9.93906e-05,9.93906e-05
7,372.972,1.11349,0.68452,0.01706,2e-05,0.73951,0.41623,0.56015,0.32643,1.62511,2.50582,0.01669,0.00037,9.91232e-05,9.91232e-05,9.91232e-05
8,421.62,1.09661,0.72819,0.01829,2e-05,0.72022,0.44173,0.55852,0.32008,1.60602,2.43377,0.01651,0.00029,9.88079e-05,9.88079e-05,9.88079e-05
9,470.769,1.08409,0.65217,0.01883,2e-05,0.64169,0.42669,0.53351,0.31546,1.60358,2.63285,0.01691,0.00052,9.84449e-05,9.84449e-05,9.84449e-05
10,519.348,1.08037,0.68086,0.01856,2e-05,0.47585,0.5,0.52691,0.31958,1.6206,2.69969,0.0168,0.0006,9.80345e-05,9.80345e-05,9.80345e-05
11,568.164,1.17088,0.74549,0.01675,2e-05,0.48854,0.52068,0.54021,0.32004,1.63573,2.75159,0.01727,0.00056,9.75773e-05,9.75773e-05,9.75773e-05
12,617.006,1.07087,0.69298,0.01905,2e-05,0.4788,0.5094,0.5301,0.31469,1.61066,2.80064,0.01679,0.00058,9.70736e-05,9.70736e-05,9.70736e-05
13,666.372,1.08591,0.66961,0.01977,2e-05,0.51826,0.42669,0.4973,0.3041,1.64361,2.96182,0.01724,0.00046,9.65239e-05,9.65239e-05,9.65239e-05
14,715.318,1.07733,0.70996,0.01791,1e-05,0.50673,0.42481,0.489,0.29941,1.63725,2.9403,0.01706,0.00045,9.59289e-05,9.59289e-05,9.59289e-05
15,764.186,1.07592,0.68495,0.01689,1e-05,0.50218,0.43233,0.49042,0.3008,1.63066,2.89731,0.01711,0.00072,9.52889e-05,9.52889e-05,9.52889e-05
16,812.894,1.05837,0.67251,0.01896,1e-05,0.52854,0.40038,0.48537,0.29533,1.6483,2.99966,0.01726,0.00075,9.46048e-05,9.46048e-05,9.46048e-05
17,861.851,1.06402,0.68596,0.01825,2e-05,0.52927,0.40789,0.48799,0.29517,1.65831,3.01934,0.0172,0.00089,9.38772e-05,9.38772e-05,9.38772e-05
18,911.543,1.11266,0.70353,0.01856,2e-05,0.52475,0.3985,0.47716,0.29366,1.63605,3.07895,0.01752,0.001,9.31067e-05,9.31067e-05,9.31067e-05
19,960.147,1.05612,0.67687,0.01718,1e-05,0.5393,0.37406,0.47359,0.28964,1.62855,3.25146,0.01736,0.00101,9.22942e-05,9.22942e-05,9.22942e-05
20,1008.97,1.09569,0.69098,0.01579,1e-05,0.54396,0.37218,0.47004,0.28402,1.62877,3.2758,0.01753,0.00081,9.14405e-05,9.14405e-05,9.14405e-05
21,1058.51,1.07358,0.64662,0.02043,1e-05,0.5457,0.38158,0.47336,0.29165,1.64058,3.29903,0.01756,0.00068,9.05463e-05,9.05463e-05,9.05463e-05
22,1107.2,1.07848,0.70032,0.01881,3e-05,0.57878,0.33835,0.4631,0.2878,1.62573,3.46929,0.01753,0.00085,8.96127e-05,8.96127e-05,8.96127e-05
23,1156.31,1.09235,0.67887,0.01728,2e-05,0.54233,0.38534,0.47592,0.2916,1.63797,3.27006,0.01758,0.00067,8.86404e-05,8.86404e-05,8.86404e-05
24,1204.97,1.07739,0.69639,0.01858,2e-05,0.5457,0.38158,0.47847,0.29347,1.6491,3.26971,0.0178,0.00065,8.76305e-05,8.76305e-05,8.76305e-05
25,1253.87,1.03964,0.65325,0.01825,3e-05,0.57912,0.32331,0.46047,0.28535,1.65492,3.44376,0.01743,0.00084,8.65839e-05,8.65839e-05,8.65839e-05
26,1302.88,1.05053,0.68975,0.01952,1e-05,0.56794,0.30639,0.45055,0.2818,1.6674,3.49632,0.01803,0.00093,8.55018e-05,8.55018e-05,8.55018e-05
27,1351.36,1.06948,0.62371,0.0187,1e-05,0.6,0.29323,0.45865,0.29201,1.65027,3.5242,0.01807,0.00107,8.43851e-05,8.43851e-05,8.43851e-05
28,1400.81,1.06627,0.6731,0.01775,1e-05,0.59766,0.28759,0.45377,0.2918,1.66933,3.49999,0.01854,0.00083,8.32349e-05,8.32349e-05,8.32349e-05
29,1449.62,1.08121,0.69962,0.01752,2e-05,0.59259,0.30075,0.45499,0.29562,1.66131,3.53791,0.01818,0.00079,8.20525e-05,8.20525e-05,8.20525e-05
