Epoch 0 | Batch 0 | Src[Box:1.7865, Cls:18.7931, DFL:0.0191] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 10 | Src[Box:2.1745, Cls:3.5520, DFL:0.0259] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 20 | Src[Box:1.9657, Cls:3.7978, DFL:0.0545] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 30 | Src[Box:2.2189, Cls:4.3333, DFL:0.0353] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 40 | Src[Box:1.4009, Cls:5.0665, DFL:0.0109] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 50 | Src[Box:2.2206, Cls:4.4679, DFL:0.0107] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 60 | Src[Box:1.6471, Cls:5.6404, DFL:0.0201] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 70 | Src[Box:2.2061, Cls:3.2601, DFL:0.0275] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 0 | Batch 80 | Src[Box:1.7803, Cls:4.1004, DFL:0.0154] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 0 | Src[Box:2.3604, Cls:3.9570, DFL:0.0263] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 10 | Src[Box:1.8544, Cls:7.5063, DFL:0.0221] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 20 | Src[Box:1.3623, Cls:4.2634, DFL:0.0168] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 30 | Src[Box:1.7712, Cls:2.9711, DFL:0.0174] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 40 | Src[Box:1.6487, Cls:3.0675, DFL:0.0174] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 50 | Src[Box:1.3171, Cls:3.1828, DFL:0.0070] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 60 | Src[Box:1.6760, Cls:4.4958, DFL:0.0222] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 70 | Src[Box:1.4229, Cls:2.9497, DFL:0.0269] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 1 | Batch 80 | Src[Box:1.3825, Cls:3.3714, DFL:0.0321] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 0 | Src[Box:1.3080, Cls:2.1270, DFL:0.0165] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 10 | Src[Box:1.4170, Cls:2.3750, DFL:0.0271] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 20 | Src[Box:1.5031, Cls:2.8402, DFL:0.0146] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 30 | Src[Box:2.0312, Cls:6.7186, DFL:0.0112] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 40 | Src[Box:0.9151, Cls:9.6217, DFL:0.0188] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 50 | Src[Box:1.5859, Cls:2.7957, DFL:0.0235] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 60 | Src[Box:1.3912, Cls:3.9747, DFL:0.0172] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 70 | Src[Box:1.4322, Cls:2.6683, DFL:0.0320] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 2 | Batch 80 | Src[Box:1.9548, Cls:4.5511, DFL:0.0319] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 0 | Src[Box:1.8607, Cls:2.2240, DFL:0.0079] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 10 | Src[Box:1.1100, Cls:2.5287, DFL:0.0178] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 20 | Src[Box:1.6631, Cls:2.7863, DFL:0.0243] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 30 | Src[Box:1.5920, Cls:3.2896, DFL:0.0531] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 40 | Src[Box:1.7130, Cls:3.0068, DFL:0.0233] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 50 | Src[Box:1.4456, Cls:3.2105, DFL:0.0106] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 60 | Src[Box:1.4765, Cls:1.7842, DFL:0.0190] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 70 | Src[Box:1.0680, Cls:2.7570, DFL:0.0353] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 3 | Batch 80 | Src[Box:1.5029, Cls:1.8180, DFL:0.0143] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 0 | Src[Box:2.0620, Cls:3.4807, DFL:0.0431] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 10 | Src[Box:1.1413, Cls:1.5765, DFL:0.0132] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 20 | Src[Box:1.7310, Cls:2.8040, DFL:0.0236] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 30 | Src[Box:1.3791, Cls:2.1219, DFL:0.0371] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 40 | Src[Box:1.1142, Cls:1.6494, DFL:0.0155] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 50 | Src[Box:1.6033, Cls:2.6844, DFL:0.0166] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 60 | Src[Box:2.0667, Cls:2.2827, DFL:0.0390] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 70 | Src[Box:1.2918, Cls:2.3751, DFL:0.0126] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 4 | Batch 80 | Src[Box:1.4787, Cls:3.6960, DFL:0.0096] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 0 | Src[Box:1.3046, Cls:4.0926, DFL:0.0124] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 10 | Src[Box:1.2823, Cls:1.3743, DFL:0.0144] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 20 | Src[Box:2.1288, Cls:5.6153, DFL:0.0167] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 30 | Src[Box:1.1313, Cls:2.6422, DFL:0.0504] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 40 | Src[Box:1.1992, Cls:3.9736, DFL:0.0090] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 50 | Src[Box:1.4458, Cls:1.3788, DFL:0.0230] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 60 | Src[Box:1.4511, Cls:1.5825, DFL:0.0189] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 70 | Src[Box:1.4564, Cls:2.1697, DFL:0.0143] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 5 | Batch 80 | Src[Box:1.3925, Cls:2.2013, DFL:0.0157] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 0 | Src[Box:1.1632, Cls:1.4728, DFL:0.0325] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 10 | Src[Box:1.1998, Cls:2.4527, DFL:0.0336] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 20 | Src[Box:1.1857, Cls:3.9989, DFL:0.0109] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 30 | Src[Box:1.2287, Cls:1.8712, DFL:0.0377] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 40 | Src[Box:1.1750, Cls:1.9001, DFL:0.0076] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 50 | Src[Box:1.0717, Cls:2.2766, DFL:0.0102] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 60 | Src[Box:1.1778, Cls:2.0682, DFL:0.0341] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 70 | Src[Box:1.3678, Cls:3.3387, DFL:0.0202] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 6 | Batch 80 | Src[Box:1.1648, Cls:1.5888, DFL:0.0133] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 0 | Src[Box:0.8909, Cls:2.6844, DFL:0.0640] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 10 | Src[Box:1.1547, Cls:1.1893, DFL:0.0180] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 20 | Src[Box:1.6546, Cls:1.4312, DFL:0.0172] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 30 | Src[Box:1.4241, Cls:6.1128, DFL:0.0201] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 40 | Src[Box:1.3621, Cls:1.8802, DFL:0.0163] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 50 | Src[Box:1.2002, Cls:1.5506, DFL:0.0125] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 60 | Src[Box:1.2395, Cls:1.5880, DFL:0.0128] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 70 | Src[Box:1.4290, Cls:2.1247, DFL:0.0200] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 7 | Batch 80 | Src[Box:1.5613, Cls:1.7684, DFL:0.0096] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 0 | Src[Box:1.4485, Cls:2.0003, DFL:0.0121] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 10 | Src[Box:1.5484, Cls:1.8058, DFL:0.0198] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 20 | Src[Box:1.2816, Cls:2.4012, DFL:0.0190] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 30 | Src[Box:1.3581, Cls:1.4284, DFL:0.0246] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 40 | Src[Box:1.0290, Cls:1.7404, DFL:0.0362] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 50 | Src[Box:1.9009, Cls:4.0187, DFL:0.0213] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 60 | Src[Box:1.3949, Cls:1.8203, DFL:0.0230] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 70 | Src[Box:1.3353, Cls:1.3106, DFL:0.0109] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 8 | Batch 80 | Src[Box:1.0990, Cls:1.2416, DFL:0.0122] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 0 | Src[Box:1.0114, Cls:4.3465, DFL:0.0208] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 10 | Src[Box:1.4831, Cls:1.2784, DFL:0.0152] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 20 | Src[Box:1.3144, Cls:2.1946, DFL:0.0442] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 30 | Src[Box:1.6861, Cls:2.0628, DFL:0.0453] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 40 | Src[Box:1.4360, Cls:1.6838, DFL:0.0148] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 50 | Src[Box:1.2658, Cls:2.9019, DFL:0.0173] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 60 | Src[Box:1.6923, Cls:1.2182, DFL:0.0066] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 70 | Src[Box:1.3902, Cls:1.6378, DFL:0.0339] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 9 | Batch 80 | Src[Box:1.0024, Cls:1.2061, DFL:0.0163] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 0 | Src[Box:1.0211, Cls:1.5499, DFL:0.0150] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 10 | Src[Box:1.5364, Cls:2.3677, DFL:0.0171] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 20 | Src[Box:1.2098, Cls:1.4696, DFL:0.0116] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 30 | Src[Box:1.1107, Cls:1.8141, DFL:0.0114] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 40 | Src[Box:0.9063, Cls:1.6954, DFL:0.0115] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 50 | Src[Box:1.2331, Cls:2.1751, DFL:0.0541] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 60 | Src[Box:1.2407, Cls:2.3380, DFL:0.0085] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 70 | Src[Box:1.0714, Cls:1.7451, DFL:0.0281] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 10 | Batch 80 | Src[Box:1.0747, Cls:1.2941, DFL:0.0194] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 11 | Batch 0 | Src[Box:1.1565, Cls:1.9600, DFL:0.0323] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 11 | Batch 10 | Src[Box:1.0477, Cls:2.1004, DFL:0.0104] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 11 | Batch 20 | Src[Box:1.1808, Cls:2.1252, DFL:0.0583] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 11 | Batch 30 | Src[Box:1.5945, Cls:2.9348, DFL:0.0114] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
Epoch 11 | Batch 40 | Src[Box:1.1029, Cls:1.4684, DFL:0.0238] | Psd[Box:0.0000, Cls:0.0000, PLs:0]
