Ep 0 | B 0 | Src:24.2387 | Psd:0.0000 | PLs:0 | LR:8.00e-08
Ep 0 | B 10 | Src:15.6302 | Psd:0.0000 | PLs:0 | LR:8.07e-08
Ep 0 | B 20 | Src:18.2475 | Psd:0.0000 | PLs:0 | LR:8.26e-08
Ep 0 | B 30 | Src:9.9661 | Psd:0.0000 | PLs:0 | LR:8.56e-08
Ep 0 | B 40 | Src:12.0993 | Psd:0.0000 | PLs:0 | LR:8.98e-08
Ep 0 | B 50 | Src:17.1549 | Psd:0.0000 | PLs:0 | LR:9.52e-08
Ep 0 | B 60 | Src:11.7020 | Psd:0.0000 | PLs:0 | LR:1.02e-07
Ep 0 | B 70 | Src:13.0967 | Psd:0.0000 | PLs:0 | LR:1.09e-07
Ep 0 | B 80 | Src:14.8655 | Psd:0.0000 | PLs:0 | LR:1.18e-07
Ep 1 | B 0 | Src:15.2180 | Psd:0.0000 | PLs:0 | LR:1.28e-07
Ep 1 | B 10 | Src:16.9078 | Psd:0.0000 | PLs:0 | LR:1.39e-07
Ep 1 | B 20 | Src:15.6565 | Psd:0.0000 | PLs:0 | LR:1.51e-07
Ep 1 | B 30 | Src:10.6859 | Psd:0.0000 | PLs:0 | LR:1.65e-07
Ep 1 | B 40 | Src:12.2066 | Psd:0.0000 | PLs:0 | LR:1.79e-07
Ep 1 | B 50 | Src:12.5241 | Psd:0.0000 | PLs:0 | LR:1.94e-07
Ep 1 | B 60 | Src:12.1583 | Psd:0.0000 | PLs:0 | LR:2.11e-07
Ep 1 | B 70 | Src:15.6865 | Psd:0.0000 | PLs:0 | LR:2.28e-07
Ep 1 | B 80 | Src:12.0858 | Psd:0.0000 | PLs:0 | LR:2.46e-07
Ep 2 | B 0 | Src:10.5431 | Psd:0.0000 | PLs:0 | LR:2.66e-07
Ep 2 | B 10 | Src:12.6245 | Psd:0.0000 | PLs:0 | LR:2.86e-07
Ep 2 | B 20 | Src:10.9604 | Psd:0.0000 | PLs:0 | LR:3.07e-07
Ep 2 | B 30 | Src:15.5517 | Psd:0.0000 | PLs:0 | LR:3.29e-07
Ep 2 | B 40 | Src:16.5617 | Psd:0.0000 | PLs:0 | LR:3.52e-07
Ep 2 | B 50 | Src:12.6681 | Psd:0.0000 | PLs:0 | LR:3.76e-07
Ep 2 | B 60 | Src:12.3606 | Psd:0.0000 | PLs:0 | LR:4.01e-07
Ep 2 | B 70 | Src:16.5857 | Psd:0.0000 | PLs:0 | LR:4.26e-07
Ep 2 | B 80 | Src:21.1297 | Psd:0.0000 | PLs:0 | LR:4.52e-07
Ep 3 | B 0 | Src:13.0813 | Psd:0.0000 | PLs:0 | LR:4.79e-07
Ep 3 | B 10 | Src:8.4056 | Psd:0.0000 | PLs:0 | LR:5.07e-07
Ep 3 | B 20 | Src:17.0941 | Psd:0.0000 | PLs:0 | LR:5.35e-07
Ep 3 | B 30 | Src:15.2853 | Psd:0.0000 | PLs:0 | LR:5.64e-07
Ep 3 | B 40 | Src:14.5493 | Psd:0.0000 | PLs:0 | LR:5.93e-07
Ep 3 | B 50 | Src:16.6314 | Psd:0.0000 | PLs:0 | LR:6.23e-07
Ep 3 | B 60 | Src:11.1587 | Psd:0.0000 | PLs:0 | LR:6.54e-07
Ep 3 | B 70 | Src:11.6527 | Psd:0.0000 | PLs:0 | LR:6.85e-07
Ep 3 | B 80 | Src:13.0715 | Psd:0.0000 | PLs:0 | LR:7.16e-07
Ep 4 | B 0 | Src:18.5073 | Psd:0.0000 | PLs:0 | LR:7.48e-07
Ep 4 | B 10 | Src:11.0389 | Psd:0.0000 | PLs:0 | LR:7.80e-07
Ep 4 | B 20 | Src:22.4634 | Psd:0.0000 | PLs:0 | LR:8.12e-07
Ep 4 | B 30 | Src:12.5395 | Psd:0.0000 | PLs:0 | LR:8.45e-07
Ep 4 | B 40 | Src:11.2395 | Psd:0.0000 | PLs:0 | LR:8.78e-07
Ep 4 | B 50 | Src:11.8830 | Psd:0.0000 | PLs:0 | LR:9.11e-07
Ep 4 | B 60 | Src:20.4250 | Psd:0.0000 | PLs:0 | LR:9.45e-07
Ep 4 | B 70 | Src:14.5147 | Psd:0.0000 | PLs:0 | LR:9.78e-07
Ep 4 | B 80 | Src:16.2348 | Psd:0.0000 | PLs:0 | LR:1.01e-06
Ep 5 | B 0 | Src:13.9417 | Psd:87.4037 | PLs:30 | LR:1.05e-06
Ep 5 | B 10 | Src:12.1494 | Psd:81.4832 | PLs:30 | LR:1.08e-06
Ep 5 | B 20 | Src:19.4748 | Psd:77.7134 | PLs:31 | LR:1.11e-06
Ep 5 | B 30 | Src:11.5126 | Psd:97.8147 | PLs:30 | LR:1.15e-06
Ep 5 | B 40 | Src:15.3219 | Psd:81.1300 | PLs:31 | LR:1.18e-06
Ep 5 | B 50 | Src:10.2220 | Psd:78.9686 | PLs:30 | LR:1.21e-06
