Ep 0 | B 0 | Src:24.2387 | Psd:0.0000 | PLs:0 | LR:2.00e-06
Ep 0 | B 10 | Src:15.6194 | Psd:0.0000 | PLs:0 | LR:2.02e-06
Ep 0 | B 20 | Src:18.2326 | Psd:0.0000 | PLs:0 | LR:2.06e-06
Ep 0 | B 30 | Src:9.9244 | Psd:0.0000 | PLs:0 | LR:2.14e-06
Ep 0 | B 40 | Src:12.0350 | Psd:0.0000 | PLs:0 | LR:2.25e-06
Ep 0 | B 50 | Src:17.1153 | Psd:0.0000 | PLs:0 | LR:2.38e-06
Ep 0 | B 60 | Src:11.8576 | Psd:0.0000 | PLs:0 | LR:2.54e-06
Ep 0 | B 70 | Src:13.0346 | Psd:0.0000 | PLs:0 | LR:2.73e-06
Ep 0 | B 80 | Src:14.5945 | Psd:0.0000 | PLs:0 | LR:2.96e-06
Ep 1 | B 0 | Src:15.0857 | Psd:0.0000 | PLs:0 | LR:3.20e-06
Ep 1 | B 10 | Src:16.5312 | Psd:0.0000 | PLs:0 | LR:3.48e-06
Ep 1 | B 20 | Src:15.4581 | Psd:0.0000 | PLs:0 | LR:3.78e-06
Ep 1 | B 30 | Src:10.4985 | Psd:0.0000 | PLs:0 | LR:4.11e-06
Ep 1 | B 40 | Src:11.9136 | Psd:0.0000 | PLs:0 | LR:4.47e-06
Ep 1 | B 50 | Src:12.2356 | Psd:0.0000 | PLs:0 | LR:4.85e-06
Ep 1 | B 60 | Src:10.6799 | Psd:0.0000 | PLs:0 | LR:5.26e-06
Ep 1 | B 70 | Src:15.2730 | Psd:0.0000 | PLs:0 | LR:5.70e-06
Ep 1 | B 80 | Src:11.8084 | Psd:0.0000 | PLs:0 | LR:6.16e-06
Ep 2 | B 0 | Src:10.4010 | Psd:0.0000 | PLs:0 | LR:6.64e-06
Ep 2 | B 10 | Src:12.2536 | Psd:0.0000 | PLs:0 | LR:7.15e-06
Ep 2 | B 20 | Src:10.6211 | Psd:0.0000 | PLs:0 | LR:7.68e-06
Ep 2 | B 30 | Src:14.9208 | Psd:0.0000 | PLs:0 | LR:8.23e-06
Ep 2 | B 40 | Src:15.3745 | Psd:0.0000 | PLs:0 | LR:8.81e-06
Ep 2 | B 50 | Src:11.9921 | Psd:0.0000 | PLs:0 | LR:9.40e-06
Ep 2 | B 60 | Src:11.4704 | Psd:0.0000 | PLs:0 | LR:1.00e-05
Ep 2 | B 70 | Src:15.7507 | Psd:0.0000 | PLs:0 | LR:1.07e-05
Ep 2 | B 80 | Src:20.1732 | Psd:0.0000 | PLs:0 | LR:1.13e-05
Ep 3 | B 0 | Src:12.8776 | Psd:0.0000 | PLs:0 | LR:1.20e-05
Ep 3 | B 10 | Src:7.4435 | Psd:0.0000 | PLs:0 | LR:1.27e-05
Ep 3 | B 20 | Src:17.8240 | Psd:0.0000 | PLs:0 | LR:1.34e-05
